Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Jacksonville Jaguars,56,Yasir Abdullah,LB,6-1,234,--,1,,,,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
Jacksonville Jaguars,39,Jamal Agnew,WR,5-10,190,28,6,,,,Stephen Dubin,"Yee & Dubin Sports, LLC",-,"Yee & Dubin Sports, LLC"
Jacksonville Jaguars,41,Josh Allen,LB,6-5,255,26,4,,,,Joel Segal,WME Football,Joel Segal,Lagardere Sports
Jacksonville Jaguars,3,C.J. Beathard,QB,6-2,215,29,6,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Jacksonville Jaguars,4,Cartavious Bigsby,RB,6-0,213,--,-,,,,-,-,-,-
Jacksonville Jaguars,90,Angelo Blackson,DT,6-4,318,30,8,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
Jacksonville Jaguars,30,Montaric Brown,DB,6-0,190,24,1,,,,Jacob Presser,Milk & Honey Sports,-,Milk & Honey Sports
Jacksonville Jaguars,32,Tyson Campbell,DB,6-1,195,23,2,,,,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
Jacksonville Jaguars,45,K'Lavon Chaisson,LB,6-3,245,24,3,,,,-,-,David Mulugheta,Athletes First
Jacksonville Jaguars,5,Andre Cisco,DB,6-0,210,23,2,,,,David Mulugheta/Andre Odom,Athletes First,"David Mulugheta, Andre Odom",Athletes First
Jacksonville Jaguars,--,Ezra Cleveland,OG,6-6,311,25,3,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Jacksonville Jaguars,9,Logan Cooke,P,6-5,230,28,5,,,,Donald Weatherell and Madison Howard,Ballengee Group and BC Sports Inc.,"Bus Cook, Donald Weatherell, Madison Howard",Bus Cook Sports
Jacksonville Jaguars,14,Elijah Cooks,WR,6-4,215,--,1,,,,-,-,-,-
Jacksonville Jaguars,17,Evan Engram,TE,6-3,240,29,6,,,,Kyle Dolan,VaynerSports,Mike McCartney,VaynerSports
Jacksonville Jaguars,1,Travis Etienne,RB,5-10,215,24,2,,,,Martin Fischman/Stanley Wiltz,Ballengee Group,"Martin Fischman, Stanley Wiltz",Ballengee Group
Jacksonville Jaguars,89,Luke Farrell,TE,6-5,250,26,2,,,,Daniel Connell/Mark Humenik/Shannon Polk,IHC Sports,"Shannon Polk, Andy Kabat, Daniel Connell, Mark Humenik",IHC Sports
Jacksonville Jaguars,94,Folorunso Fatukasi,DT,6-4,318,28,-,,,,Jared Fox/Alan Herman,"SPORTSTARS, INC.",-,-
Jacksonville Jaguars,79,Luke Fortner,C,6-6,307,25,1,,,,Murphy McGuire,Octagon,-,Octagon
Jacksonville Jaguars,96,Adam Gotsis,DE,6-4,290,31,7,,,,David Canter,GSE Worldwide Football,David Canter,-
Jacksonville Jaguars,52,Davon Hamilton,DT,6-4,335,26,3,,,,Travis Allen,Athletes First,-,Athletes First
Jacksonville Jaguars,73,Blake Hance,OT,6-5,310,27,2,,,,-,-,-,-
Jacksonville Jaguars,77,Anton Harrison,OT,6-5,315,--,1,,,,Joe Panos/ Todd France,Athletes First,"Joe Panos, Todd France",Athletes First
Jacksonville Jaguars,22,JaMycal Hasty,RB,5-8,205,27,3,,,,-,-,-,-
Jacksonville Jaguars,37,Tre Herndon,DB,5-11,190,27,5,,,,Harold Lewis/Chad Berger/Ezra Thompson,National Sports Agency,"Harold Lewis, Chad Berger, Ezra Thompson",National Sports Agency
Jacksonville Jaguars,2,Rayshawn Jenkins,DB,6-1,200,29,6,,,,Adam Petrus,ProPlayer Sports,-,ProPlayer Sports
Jacksonville Jaguars,26,Antonio Johnson,DB,6-3,195,--,1,,,,-,-,-,-
Jacksonville Jaguars,57,Caleb Johnson,LB,6-2,220,25,2,,,,-,-,-,-
Jacksonville Jaguars,25,D'Ernest Johnson,RB,5-10,208,27,4,,,,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
Jacksonville Jaguars,15,Tim Jones,WR,6-1,200,25,1,,,,-,-,-,-
Jacksonville Jaguars,7,Zay Jones,WR,6-2,200,28,6,,,,George Elemont,Elite Athlete Management,-,Elite Athlete Management
Jacksonville Jaguars,13,Christian Kirk,WR,5-11,200,26,5,,,,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Elite Athlete Management
Jacksonville Jaguars,93,Tyler Lacy,DE,6-4,285,--,1,,,,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Jacksonville Jaguars,16,Trevor Lawrence,QB,6-6,220,24,2,,,,Kyle Strongin and Alan Bullington/James Courie and Sean Howard,Range Sports and MGC Sports and Roc Nation Sports,"James Courie, Kyle Strongin, Sean Howard, Alan Bullington",MGC Sports
Jacksonville Jaguars,99,Jeremiah Ledbetter,DT,6-3,299,28,3,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Jacksonville Jaguars,72,Walker Little,OT,6-7,325,24,2,,,,Joel Segal,WME Football,Joel Segal,SportFive
