Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Kansas City Chiefs,73,Nick Allegretti,OG,6-4,310,27,4,,,,John Pace,3XL Sports Management,Nathan Richman,3XL Sports Management
Kansas City Chiefs,97,Felix Anudike,DE,6-4,255,--,1,,,,Tommy Condon,CAA Football,"Tommy Condon, RJ Gonser, Tory Dandy",CAA Football
Kansas City Chiefs,81,Blake Bell,TE,6-6,252,32,8,,,,Craig Domann,360 Sports LLC,Tom Mills,360 Sports LLC
Kansas City Chiefs,7,Harrison Butker,K,6-4,199,28,6,,,,Joseph Flanagan,BTI Sports Advisors,-,BTI Sports Advisors
Kansas City Chiefs,66,Mike Caliendo,OG,6-4,301,26,1,,,,-,-,-,-
Kansas City Chiefs,54,Leo Chenal,LB,6-3,250,23,1,,,,-,-,-,CAA Sports
Kansas City Chiefs,43,Jack Cochrane,LB,6-3,236,24,1,,,,-,-,-,-
Kansas City Chiefs,27,Chamarri Conner,DB,6-0,206,--,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Kansas City Chiefs,6,Bryan Cook,DB,6-1,206,24,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Kansas City Chiefs,51,Mike Danna,DE,6-2,257,25,-,,,,Aaron Gordon,USO Sports,-,-
Kansas City Chiefs,93,Matt Dickerson,DT,6-5,292,27,5,,,,Murphy McGuire,Octagon,-,Octagon
Kansas City Chiefs,21,Mike Edwards,DB,5-10,205,27,4,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
Kansas City Chiefs,25,Clyde Edwards-Helaire,RB,5-7,207,24,3,,,,Caitlin Aoki and Rocky Arceneaux,Alliance Sports,"Rocky Arceneaux, Caitlin Aoki",Alliance Sports Management
Kansas City Chiefs,92,Neil Farrell,DE,6-4,325,25,1,,,,Julian Carrington,BC Sports Inc.,-,BC Sports Inc.
Kansas City Chiefs,9,Blaine Gabbert,QB,6-4,233,34,12,,,,-,-,Ben Dogra,CAA Sports
Kansas City Chiefs,50,Willie Gay,LB,6-1,243,25,3,,,,Harold Bicknell,Gate City Athletics,-,Gate City Athletics
Kansas City Chiefs,83,Noah Gray,TE,6-3,240,24,2,,,,Jack Bechta,JB Sports Inc.,-,JB Sports Inc.
Kansas City Chiefs,12,Mecole Hardman,WR,5-10,187,25,4,,,,Cody Recchion,1 of 1 Agency,"Andy Simms, Cody Recchion",1 of 1 Agency
Kansas City Chiefs,59,Darius Harris,LB,6-2,238,27,3,,,,-,-,-,-
Kansas City Chiefs,94,Malik Herring,DE,6-3,275,--,1,,,,-,-,-,-
Kansas City Chiefs,52,Creed Humphrey,C,6-4,302,24,2,,,,Devin Brunson,1 of 1 Agency,Ken Sarnoff,1 of 1 Agency
Kansas City Chiefs,44,Cam Jones,LB,6-1,227,--,1,,,,-,-,-,-
Kansas City Chiefs,95,Chris Jones,DT,6-6,310,29,1,,,,Jason Katz,-,-,-
Kansas City Chiefs,31,Nic Jones,DB,6-0,189,--,1,,,,-,-,-,-
Kansas City Chiefs,56,George Karlaftis,DE,6-4,263,22,1,,,,Charles Lilly,WME Sports,-,WME Sports
Kansas City Chiefs,87,Travis Kelce,TE,6-5,250,34,10,,,,Melvin Bratton,MB5 Sports Group ,Melvin Bratton,Vantage Management Group
Kansas City Chiefs,15,Patrick Mahomes,QB,6-2,225,28,6,,,,Leigh Steinberg,Leigh Steinberg Sports,"Chris Cabott, Leigh Steinberg",Equity Sports
Kansas City Chiefs,22,Trent McDuffie,DB,5-11,193,23,1,,,,Patrick Collins,CAA Football,Patrick Collins,CAA Football
Kansas City Chiefs,1,Jerick McKinnon,RB,5-9,209,31,9,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,SportStars
Kansas City Chiefs,24,Skyy Moore,WR,5-10,195,23,1,,,,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
Kansas City Chiefs,64,Wanya Morris,OT,6-5,317,--,1,,,,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Kansas City Chiefs,77,Lucas Niang,OT,6-6,315,25,2,,,,-,-,-,CAA Sports
Kansas City Chiefs,91,Derrick Nnadi,DT,6-1,317,27,5,,,,"Patrick Dye, Jr.",SportsTrust Advisors,"Pat Dye Jr., Bill Johnson",SportsTrust Advisors
