Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Las Vegas Raiders,22,Ameer Abdullah,RB,5-9,203,30,8,Adisa Bakari,The Sports & Entertainment Group ,Adisa Bakari,The Sports & Entertainment Group 
Las Vegas Raiders,17,Davante Adams,WR,6-1,215,30,9,Frank Bauer,Sun West Sports,Frank Bauer,Sun West Sports
Las Vegas Raiders,0,Jakorian Bennett,DB,5-11,195,--,1,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Las Vegas Raiders,50,Jacob Bobenmoyer,LS,6-2,235,26,3,-,-,-,-
Las Vegas Raiders,34,Brandon Bolden,RB,5-11,220,33,10,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Elite Athlete Management
Las Vegas Raiders,36,Curtis Bolton,LB,6-0,228,27,2,-,-,-,-
Las Vegas Raiders,56,Amari Burney,LB,6-2,228,--,1,-,-,-,-
Las Vegas Raiders,69,Adam Butler,DT,6-4,300,29,6,Murphy McGuire,Octagon,Murphy McGuire,Octagon
Las Vegas Raiders,2,Daniel Carlson,K,6-5,215,28,5,Rick Smith,Priority Sports & Entertainment,Mike McCartney,Priority Sports & Entertainment
Las Vegas Raiders,3,DeAndre Carter,WR,5-8,188,30,5,Andrew Baker,Exclusive Sports Group ,-,Exclusive Sports Group 
Las Vegas Raiders,6,A.J. Cole,P,6-4,220,27,4,-,-,-,United Athlete Agents
Las Vegas Raiders,98,Maxx Crosby,DE,6-5,255,26,4,Shahin Aslani,Wasserman Media Group,"C.J. Laboy, Doug Hendrickson",Wasserman Media Group
Las Vegas Raiders,5,Divine Deablo,LB,6-3,226,25,2,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Las Vegas Raiders,72,Jermaine Eluemunor,OT,6-4,345,28,6,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Las Vegas Raiders,1,Marcus Epps,DB,6-1,191,27,4,Jonathan Bolston/Bardia Ghahremani,International Sports Agency,"Bardia Ghahremani, Russell Carr",International Sports Agency
Las Vegas Raiders,10,Jimmy Garoppolo,QB,6-2,225,32,9,Stephen Dubin,"Yee & Dubin Sports, LLC",Don Yee,"Yee & Dubin Sports, LLC"
Las Vegas Raiders,37,Tyler Hall,DB,5-10,190,25,2,Jonathan Bolston,International Sports Agency,-,International Sports Agency
Las Vegas Raiders,71,Justin Herron,OT,6-5,305,27,3,-,-,Schwartz & Feinsod,-
Las Vegas Raiders,39,Nate Hobbs,DB,6-1,195,24,2,Xavier Warren,HOF Player Representatives,-,HOF Player Representatives
Las Vegas Raiders,81,Austin Hooper,TE,6-4,254,29,7,Steve Caric,Wasserman Media Group ,Steve Caric,Caric Sports Management
Las Vegas Raiders,80,Jesper Horsted,TE,6-3,237,26,3,Stephen Dubin,"Yee & Dubin Sports, LLC",-,Yee & Dubin Sports
Las Vegas Raiders,7,Brian Hoyer,QB,6-2,215,38,14,Jeremy Cohen,JL Sports,-,JL Sports
Las Vegas Raiders,8,Josh Jacobs,RB,5-10,223,25,4,Chad Wiestling,"Black Label Sports Group, LLC",Chad Wiestling,Sports International Group
Las Vegas Raiders,68,Andre James,C,6-4,300,26,4,Murphy McGuire,Octagon,-,Octagon
Las Vegas Raiders,95,John Jenkins,DT,6-3,359,34,10,Darryl Carver,Envisage Sports,Darryl Carver,Envisage Sports
Las Vegas Raiders,45,Jakob Johnson,RB,6-3,255,28,4,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Las Vegas Raiders,51,Malcolm Koonce,DE,6-2,250,--,2,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Las Vegas Raiders,59,Luke Masterson,LB,6-1,234,25,1,-,-,-,-
Las Vegas Raiders,87,Michael Mayer,TE,6-4,265,--,1,Travis Allen,Athletes First,-,Athletes First
Las Vegas Raiders,61,Jordan Meredith,OG,6-2,300,--,1,-,-,-,-
Las Vegas Raiders,16,Jakobi Meyers,WR,6-2,200,26,4,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Las Vegas Raiders,74,Kolton Miller,OT,6-8,325,28,5,Jeremy Newberry,Octagon,Jeremy Newberry,Octagon
Las Vegas Raiders,25,Tre'von Moehrig,DB,6-2,202,24,2,Tommy Condon,CAA Football,"Tommy Condon, Tory Dandy",CAA Football
Las Vegas Raiders,77,Thayer Munford,OT,6-6,320,24,1,-,-,-,-
Las Vegas Raiders,91,Bilal Nichols,DT,6-4,290,27,5,Jared Fox/Alan Herman,"SPORTSTARS, INC.","Alan Herman, Jared Fox, Jamie Mullen","SPORTSTARS, INC."
Las Vegas Raiders,4,Aidan O'Connell,QB,6-3,210,--,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Las Vegas Raiders,66,Dylan Parham,OG,6-3,311,24,1,Travis Allen,Athletes First,-,Athletes First
Las Vegas Raiders,24,Marcus Peters,DB,6-0,197,30,8,Shahin Aslani,Wasserman Media Group,Doug Hendrickson,Wasserman Media Group
Las Vegas Raiders,20,Isaiah Pola-Mao,DB,6-4,211,24,1,-,-,-,-
Las Vegas Raiders,52,Malik Reed,LB,6-2,235,27,4,Rick Smith,Priority Sports & Entertainment,Mike McCartney,Priority Sports & Entertainment
Las Vegas Raiders,13,Hunter Renfrow,WR,5-10,185,27,4,James Courie,MGC Sports,James Courie,MGC Sports
Las Vegas Raiders,21,Amik Robertson,DB,5-8,187,25,3,-,-,-,MVA Sports
Las Vegas Raiders,96,Isaac Rochell,DE,6-4,280,28,5,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Las Vegas Raiders,99,Nesta Jade Silvera,DT,6-2,315,--,1,-,-,-,-
Las Vegas Raiders,29,Christopher Smith,DB,5-11,195,--,1,-,-,-,-
Las Vegas Raiders,15,Jaylon Smith,LB,6-2,243,28,5,-,-,Doug Hendrickson,Wasserman
Las Vegas Raiders,41,Robert Spillane,LB,6-1,229,27,4,Joseph Flanagan,BTI Sports Advisors,-,BTI Sports Advisors
