Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Los Angeles Chargers,13,Keenan Allen,WR,6-2,211,31,10,Joby Branion,Vanguard Sports Group,Joby Branion,Vanguard Sports Group
Los Angeles Chargers,78,Zack Bailey,OT,6-5,300,27,2,Alan Bullington,MGC Sports,-,MGC Sports
Los Angeles Chargers,27,Essang Bassey,DB,5-10,190,25,3,-,-,-,-
Los Angeles Chargers,97,Joey Bosa,LB,6-5,280,28,7,Brian Ayrault,WME Football,Brian Ayrault,CAA Sports
Los Angeles Chargers,76,William Clapp,C,6-5,311,27,-,-,-,-,-
Los Angeles Chargers,12,Derius Davis,WR,5-8,168,--,1,Shane Costa,Generation Sports Group,-,Generation Sports Group
Los Angeles Chargers,43,Michael Davis,DB,6-2,196,28,6,-,-,-,-
Los Angeles Chargers,11,Cameron Dicker,K,6-1,216,23,1,-,-,-,-
Los Angeles Chargers,42,Elijah Dotson,RB,5-9,202,--,1,-,-,-,-
Los Angeles Chargers,30,Austin Ekeler,RB,5-10,200,28,6,-,-,-,-
Los Angeles Chargers,7,Gerald Everett,TE,6-3,250,29,6,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Los Angeles Chargers,87,Simi Fehoko,WR,6-4,218,26,2,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Los Angeles Chargers,24,A.J. Finley,DB,6-0,188,--,1,-,-,-,
Los Angeles Chargers,56,Morgan Fox,DE,6-3,275,29,6,David Canter,GSE Worldwide Football,David Canter,DEC Management
Los Angeles Chargers,32,Alohi Gilman,DB,5-10,201,26,3,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Los Angeles Chargers,15,Jalen Guyton,WR,6-1,212,26,3,-,-,-,Kelli Masters Management
Los Angeles Chargers,47,Josh Harris,LS,6-1,224,34,11,-,-,-,-
Los Angeles Chargers,37,Jaylinn Hawkins,DB,6-1,208,26,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Los Angeles Chargers,0,Daiyan Henley,LB,6-1,230,--,1,Travis Allen,Athletes First,-,Athletes First
Los Angeles Chargers,10,Justin Herbert,QB,6-6,236,25,3,Justin Schulman/David Dunn,Athletes First,"David Dunn, Justin Schulman",Athletes First
Los Angeles Chargers,64,Brenden Jaimes,OG,6-5,300,24,2,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Los Angeles Chargers,3,Derwin James,DB,6-2,215,27,5,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Los Angeles Chargers,98,Austin Johnson,DT,6-4,314,29,7,-,-,-,CAA Sports
Los Angeles Chargers,77,Zion Johnson,OG,6-3,316,23,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Los Angeles Chargers,1,Quentin Johnston,WR,6-4,215,--,1,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, Alexis Ramos, Quincy Peyton, C.J. Laboy",Wasserman Media Group
Los Angeles Chargers,51,Sebastian Joseph,DT,6-4,310,28,5,-,-,Pat Capra,Lunar Sports
Los Angeles Chargers,25,Joshua Kelley,RB,5-11,212,25,-,Shahin Aslani,Wasserman Media Group,-,-
Los Angeles Chargers,6,Eric Kendricks,LB,6-0,232,31,8,Shahin Aslani,Wasserman Media Group,-,Wasserman Media Group
Los Angeles Chargers,33,Deane Leonard,DB,6-0,195,23,1,-,-,Greg Brookey,-
Los Angeles Chargers,52,Khalil Mack,LB,6-3,269,32,9,Joel Segal,WME Football,Joel Segal,Lagardere Unlimited
Los Angeles Chargers,20,Dean Marlowe,DB,6-1,205,31,6,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Los Angeles Chargers,99,Scott Matlock,DT,6-4,308,--,1,-,-,-,-
Los Angeles Chargers,71,Jordan McFadden,OG,6-2,295,--,1,-,-,-,-
Los Angeles Chargers,9,Kenneth Murray,LB,6-2,241,24,3,Ryan Williams,Athletes First,Ryan Williams,v
Los Angeles Chargers,44,Tanner Muse,LB,6-2,227,27,3,-,-,-,MVA Sports
Los Angeles Chargers,31,Nick Niemann,LB,6-3,244,25,2,Kyle Strongin,Range Sports,Kyle Strongin,MGC Sports
Los Angeles Chargers,57,Amen Ogbongbemiga,LB,6-0,231,25,2,-,-,-,-
Los Angeles Chargers,93,Otito Ogbonnia,DT,6-4,320,23,1,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Los Angeles Chargers,89,Donald Parham,TE,6-8,237,26,3,Safarrah Lawson,STL Sports Group Inc,Safarrah Lawson,STL Sports Group
Los Angeles Chargers,79,Trey Pipkins,OT,6-6,307,27,4,Jamie Mullen,"SPORTSTARS, INC.","Dave Butz, Jamie Mullen","SPORTSTARS, INC."
Los Angeles Chargers,94,Chris Rumph,LB,6-2,244,25,2,Joel Segal,WME Football,Joel Segal,SportFive
Los Angeles Chargers,68,Jamaree Salyer,OG,6-4,325,23,1,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Los Angeles Chargers,26,Asante Samuel,DB,5-10,180,24,2,David Canter,GSE Worldwide Football,David Canter,DEC Management
Los Angeles Chargers,73,Foster Sarell,OT,6-6,322,25,1,-,-,-,-
Los Angeles Chargers,16,JK Scott,P,6-5,208,28,4,Alexa Stabler,Stabler Sports,Alexa Stabler,Stabler Sports
Los Angeles Chargers,70,Rashawn Slater,OT,6-4,315,24,2,Patrick Collins and Tommy Condon,CAA Football,"Tommy Condon, Jimmy Sexton, Patrick Collins",CAA Football
Los Angeles Chargers,84,Stone Smartt,TE,6-4,226,25,1,-,-,-,-
Los Angeles Chargers,28,Isaiah Spiller,RB,6-1,215,22,1,-,-,-,Alliance Management
Los Angeles Chargers,2,Easton Stick,QB,6-1,224,28,4,Chase Callahan/Ryan Tollner and Bruce Tollner,REP 1 Football and  OG1 Athletes,"Chase Callahan, Ryan Tollner, Bruce Tollner",Rep 1 Sports
Los Angeles Chargers,36,Ja'Sir Taylor,DB,5-10,185,24,1,Anthony Bendana,Sports Law and Management (SLAM),-,SLAM
Los Angeles Chargers,45,Tuli Tuipulotu,LB,6-3,266,--,1,David Canter,GSE Worldwide Football,-,GSE Worldwide
Los Angeles Chargers,83,Nick Vannett,TE,6-5,257,30,7,-,-,-,-
Los Angeles Chargers,95,Nicholas Williams,DE,6-4,310,33,-,William Heck,"SPORTSTARS, INC.",-,-
Los Angeles Chargers,41,Raheem Layne,DB,5-11,192,24,1,-,-,-,Muck Sports Representation
Los Angeles Chargers,5,Josh Palmer,WR,6-1,210,24,2,Adisa Bakari,The Sports & Entertainment Group ,"Adisa Bakari, Jeffrey Whitney",The Sports & Entertainment Group
Los Angeles Chargers,62,Andrew Trainer,OT,6-7,320,25,1,-,-,-,-
Los Angeles Chargers,35,Amechi Uzodinma,DB,5-11,189,--,-,-,-,-,-
Los Angeles Chargers,81,Mike Williams,WR,6-4,218,29,6,-,-,Tory Dandy,CAA Sports
Los Angeles Chargers,63,Corey Linsley,C,6-3,301,32,9,Anthony Agnone,Eastern Athletic Services ,-,Eastern Athletic Services
Los Angeles Chargers,22,JT Woods,DB,6-2,193,23,1,Jack Scharf,The Familie,"Jack Scharf, Jeff Griffin",-
Los Angeles Chargers,90,Brevin Allen,LB,6-3,265,--,1,-,-,-,-
Los Angeles Chargers,35,Terrell Bynum,WR,6-0,188,--,1,-,-,-,-
Los Angeles Chargers,72,Jerrod Clark,DT,6-3,334,--,1,-,-,-,-
Los Angeles Chargers,96,Christian Covington,DT,6-2,300,30,8,Graylan Crain,CAA Football,Graylan Crain,Select Sports Group
Los Angeles Chargers,86,Keelan Doss,WR,6-3,215,27,2,Travis Allen,Athletes First,-,Athletes First
Los Angeles Chargers,8,Max Duggan,QB,6-1,204,--,1,-,-,-,-
Los Angeles Chargers,82,Alex Erickson,WR,6-0,195,31,7,-,-,-,-
Los Angeles Chargers,92,Andrew Farmer,LB,6-4,250,--,1,-,-,-,-
Los Angeles Chargers,23,Matt Hankins,DB,5-11,185,--,1,-,-,-,-
Los Angeles Chargers,87,Hunter Kampmoyer,TE,6-4,243,--,1,-,-,-,-
Los Angeles Chargers,53,Blake Lynch,LB,6-3,225,26,2,-,-,-,-
Los Angeles Chargers,67,Basil Okoye,DT,6-6,315,--,1,-,-,-,-
Los Angeles Chargers,34,Jaret Patterson,RB,5-8,195,23,2,-,-,-,-
Los Angeles Chargers,66,Cameron Tom,C,6-4,287,28,5,Harold Lewis,National Sports Agency,Harold Lewis,National Sports Agency
Los Angeles Chargers,29,Mark Webb,DB,6-1,207,--,2,David Mulugheta,Athletes First,"David Mulugheta, Andre Odom",Athletes First
Los Angeles Chargers,29,Chris Wilcox,DB,6-2,195,--,1,Travis Allen,Athletes First,-,Athletes First
