Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Los Angeles Rams,55,Brian Allen,C,6-2,303,28,5,Daniel Connell/Mark Humenik/Shannon Polk,IHC Sports,"Mark Humenik, Shannon Polk, Andy Kabat, Daniel Connell",IHC Sports
Los Angeles Rams,87,Davis Allen,TE,6-6,245,--,1,-,-,-,-
Los Angeles Rams,72,Tremayne Anchrum,OT,6-2,314,25,3,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Los Angeles Rams,5,Chatarius Atwell,WR,5-9,165,24,-,Drew Rosenhaus/Robert Bailey,Rosenhaus Sports Representation,-,-
Los Angeles Rams,73,Steve Avila,OG,6-3,330,--,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Los Angeles Rams,90,Earnest Brown,DE,6-5,270,24,1,Christian Carter,Shark Sports Management,-,Shark Sports Management
Los Angeles Rams,99,Aaron Donald,DT,6-1,280,32,9,-,-,-,-
Los Angeles Rams,69,Kevin Dotson,OG,6-4,321,27,3,-,-,-,-
Los Angeles Rams,14,Decobie Durant,DB,5-11,180,25,1,-,-,-,First Round Management
Los Angeles Rams,98,Cory Durden,DT,6-4,292,--,1,-,-,-,-
Los Angeles Rams,42,Ethan Evans,P,6-4,235,--,1,-,-,-,-
Los Angeles Rams,21,Zach Evans,RB,5-11,202,--,1,-,-,-,-
Los Angeles Rams,24,Royce Freeman,RB,6-0,238,27,5,Joel Segal/Chafie Fields,WME Football,"Joel Segal, Chafie Fields",Lagardere Sports
Los Angeles Rams,4,Jordan Fuller,DB,6-2,203,25,3,Kyle Dolan,VaynerSports,-,VaynerSports
Los Angeles Rams,33,Myles Gaskin,RB,5-10,200,26,4,-,-,-,First Picks Sports
Los Angeles Rams,31,Nick Hampton,LB,6-3,235,--,1,-,-,-,-
Los Angeles Rams,79,Rob Havenstein,OT,6-8,330,31,8,Travis Allen,Athletes First,-,Athletes First
Los Angeles Rams,8,Lucas Havrisik,K,6-2,188,--,1,-,-,-,-
Los Angeles Rams,27,Darrell Henderson,RB,5-8,208,26,4,Christopher Cabott,Equity Sports,Christopher Cabott,Equity Sports
Los Angeles Rams,89,Tyler Higbee,TE,6-6,255,30,7,Erik Burkhardt,Roc Nation Sports,Erik Burkhardt,Roc Nation Sports
Los Angeles Rams,6,Tre'Vius Hodges-Tomlinson,DB,5-9,180,--,-,-,-,-,-
Los Angeles Rams,97,Michael Hoecht,LB,6-4,310,26,-,-,-,-,-
