Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Minnesota Vikings,3,Jordan Addison,WR,6-0,175,--,1,,,,Timothy Younger,Younger & Associates,Timothy Younger,Younger & Associates
Minnesota Vikings,78,Hakeem Adeniji,OT,6-4,302,25,3,,,,Deryk Gilmore,Day 1 Sports & Entertainment,-,Day 1 Sports & Entertainment
Minnesota Vikings,31,Cam Akers,RB,5-10,217,24,2,,,,Travis Allen,Athletes First,-,Athletes First
Minnesota Vikings,33,Brian Asamoah,LB,6-0,226,--,1,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman Media Group
Minnesota Vikings,5,Mekhi Blackmon,DB,5-11,178,--,1,,,,Murphy McGuire,Octagon,-,Octagon
Minnesota Vikings,23,Andrew Booth,DB,6-0,194,23,1,,,,-,-,-,-
Minnesota Vikings,56,Garrett Bradbury,C,6-3,300,28,4,,,,-,-,Jim Denton,CAA Sports
Minnesota Vikings,64,Blake Brandel,OG,6-7,315,26,2,,,,Jeff Brodie,Sports Management Worldwide,Jeff Brodie,-
Minnesota Vikings,90,Jonathan Bullard,DE,6-3,290,30,7,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Minnesota Vikings,24,Camryn Bynum,DB,6-0,200,25,2,,,,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Minnesota Vikings,55,Andre Carter,LB,6-6,256,--,1,,,,-,-,-,-
Minnesota Vikings,32,Ty Chandler,RB,5-11,204,25,1,,,,Michael Lartigue,"Nexus Sports, LLC",-,"US Sports, Inc."
Minnesota Vikings,6,Lewis Cine,DB,6-2,199,24,1,,,,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Minnesota Vikings,71,Christian Darrisaw,OT,6-5,315,24,2,,,,Cody Recchion,1 of 1 Agency,"Andy Simms, Cody Recchion",1 of 1 Agency
Minnesota Vikings,42,Andrew DePaola,LS,6-1,229,36,8,,,,-,-,Sean Stellano,-
Minnesota Vikings,15,Joshua Dobbs,QB,6-3,216,28,6,,,,Rick Smith,Priority Sports & Entertainment,Mike McCartney,Priority Sports & Entertainment
Minnesota Vikings,45,Troy Dye,LB,6-3,225,27,3,,,,Clifford Brady,Capital Sports Advisors ,-,Capital Sports Advisors 
Minnesota Vikings,21,Akayleb Evans,DB,6-2,198,24,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Minnesota Vikings,16,Jaren Hall,QB,6-0,207,--,1,,,,-,-,-,-
Minnesota Vikings,30,C.J. Ham,RB,5-11,250,30,6,,,,Blake Baratz,The Institute for Athletes,Blake Baratz,The Institute for Athletes
Minnesota Vikings,13,N'Keal Harry,WR,6-4,225,25,4,,,,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
Minnesota Vikings,58,Jordan Hicks,LB,6-1,236,31,8,,,,Paul Sheehy,ProStar Sports Agenc,Paul Sheehy,ProStar Sports Agenc
Minnesota Vikings,87,T.J. Hockenson,TE,6-5,248,26,4,,,,Neil Cornrich,"NC Sports, LLC",Neil Cornrich,"NC Sports, LLC"
Minnesota Vikings,99,Danielle Hunter,LB,6-5,263,29,8,,,,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Klutch Sports Group
Minnesota Vikings,67,Edward Ingram,OG,6-3,307,24,-,,,,Nicole Lynn,Klutch Sports Group,-,-
Minnesota Vikings,25,Theo Jackson,DB,6-1,198,25,1,,,,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich",Equity Sports
Minnesota Vikings,9,Trishton Jackson,WR,6-1,191,25,2,,,,Brian Donaldson,nnovative Sports Management Corporation,Brian Donaldson,Innovative Sports Management
Minnesota Vikings,91,Patrick Jones,LB,6-4,264,25,2,,,,-,-,Tory Dandy,CAA Sports
Minnesota Vikings,1,Greg Joseph,K,6-0,206,29,3,,,,Brett Tessler,Tessler Sports Management,Brett Tessler,Tessler Sports Management
Minnesota Vikings,94,Dean Lowry,DE,6-6,296,29,7,,,,Julie Magrane / Mark Bartelstein,Priority Sports & Entertainment,-,-
Minnesota Vikings,2,Alexander Mattison,RB,5-11,215,25,4,,,,Shahin Aslani and Michael Swenson,Wasserman Media Group,"Michael Swenson, C.J. Laboy, Doug Hendrickson",Wasserman Media Group
Minnesota Vikings,44,Josh Metellus,DB,5-11,207,25,3,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Minnesota Vikings,86,John Mundt,TE,6-4,233,28,5,,,,-,-,-,-
Minnesota Vikings,7,Byron Murphy,DB,5-11,190,25,4,,,,Zeke Sandhu,Klutch Sports Group,Zeke Sandhu,Elite Athlete Management
Minnesota Vikings,34,Nick Muse,TE,6-5,252,24,1,,,,-,-,-,MVA Sports
Minnesota Vikings,83,Jalen Nailor,WR,6-0,190,24,1,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman
Minnesota Vikings,26,Kene Nwangwu,RB,6-1,210,25,2,,,,Shane Costa,Generation Sports Group,-,Generation Sports Group
Minnesota Vikings,75,Brian O'Neill,OT,6-7,310,28,5,,,,Chase Callahan/Ryan Tollner,REP 1 Football,"Chase Callahan, Ryan Tollner",REP 1 Football
Minnesota Vikings,84,Josh Oliver,TE,6-5,249,26,4,,,,Andrew Kessler,Athletes First,Andrew Kessler,Athletes First
Minnesota Vikings,17,K.J. Osborn,WR,5-11,203,26,3,,,,"Patrick Dye, Jr.",SportsTrust Advisors,Ben Renzin,SportsTrust Advisors
Minnesota Vikings,40,Ivan Pace,LB,5-10,231,--,1,,,,-,-,-,-
Minnesota Vikings,97,Harrison Phillips,DT,6-3,307,27,5,,,,Tommy Condon,CAA Football,"Tom Condon, Tommy Condon, John Caplin",CAA Football
Minnesota Vikings,4,Brandon Powell,WR,5-8,181,28,5,,,,-,-,Robert Bailey,Rosenhaus Sports
Minnesota Vikings,76,David Quessenberry,OT,6-5,306,33,5,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Minnesota Vikings,66,Dalton Risner,OG,6-5,312,28,4,,,,Mark Humenik/Shannon Polk,IHC Sports,"Andy Kabat, Shannon Polk, Mark Humenik",IHC Sports
Minnesota Vikings,93,Jaquelin Roy,DT,6-3,305,--,1,,,,Jeremy Lessem,"Lessem, Newstat & Tooson",-,"Lessem, Newstat & Tooson, LLP"
Minnesota Vikings,65,Austin Schlottmann,C,6-6,300,28,4,,,,-,-,-,-
Minnesota Vikings,22,Harrison Smith,DB,6-2,211,34,11,,,,John McGeehan,Athletes First,John McGeehan,Athletes First
Minnesota Vikings,11,NaJee Thompson,DB,5-11,205,--,1,,,,-,-,-,-
Minnesota Vikings,95,Khyiris Tonga,DT,6-4,338,27,2,,,,David Canter,GSE Worldwide Football,David Canter,DEC Management
