Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
New England Patriots,60,David Andrews,C,6-3,300,31,8,Richard Rosa,"Compass Sports Advisors, LLC",Richard Rosa,Compass Sports Advisors
New England Patriots,67,Jake Andrews,C,6-3,305,--,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New England Patriots,28,Alex Austin,DB,6-1,191,--,1,-,-,-,-
New England Patriots,17,Bryce Baringer,P,6-3,215,--,1,-,-,-,-
New England Patriots,90,Christian Barmore,DT,6-5,310,24,2,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
New England Patriots,8,Ja'Whaun Bentley,LB,6-2,244,27,5,Todd France,Athletes First,Todd France,CAA Sports
New England Patriots,45,Chris Board,LB,6-2,229,28,5,-,-,-,-
New England Patriots,80,Kayshon Boutte,WR,6-0,195,--,1,-,-,-,-
New England Patriots,86,Pharaoh Brown,TE,6-5,246,29,5,Shahin Aslani,Wasserman Media Group,-,Wasserman Media Group
New England Patriots,77,Trenton Brown,OT,6-8,370,30,8,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
New England Patriots,27,Myles Bryant,DB,5-9,185,25,3,-,-,-,-
New England Patriots,49,Joe Cardona,LS,6-3,245,31,8,Brooks Henderson,International Sports Advisors,Brooks Henderson,International Sports Advisors
New England Patriots,22,Cody Davis,DB,6-2,203,34,10,Jordan Woy,Willis & Woy and Associates,Jordan Woy,Willis & Woy
New England Patriots,81,Demario Douglas,WR,5-8,170,--,1,-,-,-,-
New England Patriots,23,Kyle Dugger,DB,6-2,220,27,3,Travis Allen,Athletes First,-,Athletes First
New England Patriots,15,Ezekiel Elliott,RB,6-0,225,28,7,-,-,-,Alliance Sports Management
New England Patriots,88,Mike Gesicki,TE,6-6,245,28,5,Patrick Collins,CAA Football,"Jimmy Sexton, Patrick Collins, Ben Renzin",CAA Football
New England Patriots,92,Davon Godchaux,DT,6-3,311,28,6,Drew Rosenhaus/Ryan Matha,Rosenhaus Sports Representation,"Drew Rosenhaus, Ryan Matha",Rosenhaus Sports Representation
New England Patriots,19,Will Grier,QB,6-1,220,28,4,Joel Segal/Geoff Garmhausen/Chafie Fields,WME Football,"Joel Segal, Chafie Fields, Greg Barnett, Geoff Garmhausen",Lagardere Sports
New England Patriots,93,Lawrence Guy,DT,6-4,315,33,12,Mitchell Frankel ,Impact Sports Management ,-,Impact Sports Management 
New England Patriots,85,Hunter Henry,TE,6-5,250,28,7,-,-,-,CAA Sports
New England Patriots,29,J.C. Jackson,DB,6-1,198,27,5,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
New England Patriots,33,Anfernee Jennings,LB,6-3,259,26,3,-,-,-,SIG Football
New England Patriots,13,Jack Jones,DB,5-11,175,25,1,Jeremy Lessem,"Lessem, Newstat & Tooson","Jamal Toosoon, Jeremy Lessem",-
New England Patriots,31,Jonathan Jones,DB,5-10,190,30,7,Devin Brunson,1 of 1 Agency,Andy Simms,1 of 1 Agency
New England Patriots,10,Mac Jones,QB,6-3,217,25,2,Tommy Condon,CAA Football,"Tommy Condon, Jimmy Sexton",CAA Football
New England Patriots,59,Vederian Lowe,OT,6-6,320,24,1,-,-,-,Entourage Sports
New England Patriots,68,Atonio Mafi,OG,6-3,329,--,1,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
New England Patriots,30,Marte Mapu,LB,6-3,216,--,1,Josh Arnold,"Synergy Sports International, LLC ",-,Synergy Sports
New England Patriots,2,Jalen Mills,DB,6-0,191,29,7,-,-,-,-
New England Patriots,14,Ty Montgomery,RB,6-0,216,30,8,Damarius Bilbo,Klutch Sports Group,Damarius Bilbo,Revolution Sports
New England Patriots,71,Michael Onwenu,OT,6-3,350,25,-,Jovan Barnes,Independent Sports & Entertainment ,-,-
New England Patriots,1,DeVante Parker,WR,6-3,218,30,8,James Gould,Management One,Jimmy Gould,Management One
New England Patriots,5,Jabrill Peppers,DB,5-11,213,28,6,-,-,-,CAA Sports
New England Patriots,70,Jeremiah Pharms Jr.,DT,6-3,275,27,1,-,-,-,OSMG
New England Patriots,21,Adrian Phillips,DB,5-11,210,31,8,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
New England Patriots,83,Jalen Reagor,WR,5-11,197,24,3,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
New England Patriots,96,Sam Roberts,DT,6-5,295,25,1,Spencer Armstrong,Leverage Football,-,Leverage Football
New England Patriots,37,Chad Ryland,K,6-0,183,--,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New England Patriots,41,Brenden Schooler,DB,6-1,205,26,1,-,-,-,-
New England Patriots,18,Matt Slater,WR,6-0,205,38,15,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
New England Patriots,7,JuJu Smith-Schuster,WR,6-1,215,26,6,Shahin Aslani,Wasserman Media Group,-,Wasserman
New England Patriots,62,Sidy Sow,OG,6-5,326,--,1,William Heck,"SPORTSTARS, INC.",-,SportStars
New England Patriots,38,Rhamondre Stevenson,RB,6-0,230,25,2,-,-,-,-
New England Patriots,69,Cole Strange,OG,6-5,305,25,1,William McElroy,Select Sports Group,-,Select Sports Group
New England Patriots,48,Jahlani Tavai,LB,6-2,246,27,4,Patrick Collins,CAA Football,Jahlani Tavai,CAA Football
New England Patriots,11,Tyquan Thornton,WR,6-2,182,23,1,Clifton Addison,Agency1 Athlete Management Group,-,Agency1
New England Patriots,55,Josh Uche,LB,6-3,245,25,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
New England Patriots,26,Shaun Wade,DB,6-1,191,25,2,-,-,-,Element Sports Group
New England Patriots,99,Keion White,DE,6-5,290,--,1,-,-,-,CAA Sports
New England Patriots,3,Mack Wilson,LB,6-1,233,25,4,Isaac Conner and Chad Speck,A3 Athletics and Allegiant Athletic Agency,"Isaac Conner, Chad Speck, Jimmie Strong, Che Mock",Allegiant Athletic Agency
New England Patriots,91,Deatrich Wise,DE,6-5,275,29,6,-,-,-,United Athlete Agents
New England Patriots,4,Bailey Zappe,QB,6-1,220,24,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
New England Patriots,76,Calvin Anderson,OT,6-5,300,27,4,-,-,-,-
New England Patriots,7,Isaiah Bolden,DB,6-2,205,--,1,-,-,-,-
New England Patriots,84,Kendrick Bourne,WR,6-1,190,28,6,Vincent Taylor,Elite Loyalty Sports,"Henry Organ, Vincent Taylor",Disruptive Sports
New England Patriots,95,Daniel Ekuale,DT,6-3,305,29,4,-,-,-,-
New England Patriots,6,Christian Gonzalez,DB,6-2,205,--,1,Lukman Abdulai,CAA Football,"Reggie Johnson, Lukman Abdulai, Tory Dandy",CAA Football
New England Patriots,59,Terez Hall,LB,6-2,235,26,2,-,-,-,Caric Sports Management
New England Patriots,25,Marcus Jones,DB,5-8,175,25,1,-,-,-,First Round Management
New England Patriots,9,Matt Judon,LB,6-3,261,31,7,-,-,-,-
New England Patriots,82,Tre Nixon,WR,6-2,180,--,1,Jonathan Perzley/Brian Mackler,"SPORTSTARS, INC.","Jonathan Perzley, Brian Mackler","SPORTSTARS, INC."
New England Patriots,74,Riley Reiff,OT,6-6,313,34,11,Neil Cornrich,"NC Sports, LLC ",Neil Cornrich,"NC Sports, LLC "
New England Patriots,72,Tyrone Wheatley Jr.,OT,6-6,320,26,1,-,-,-,-
New England Patriots,24,Joshuah Bledsoe,DB,5-11,201,26,1,-,-,-,Element Sports Group
New England Patriots,-,Breon Borders,DB,6-0,189,28,4,Andrew Baker,Exclusive Sports Group ,-,Exclusive Sports Group 
New England Patriots,--,William Bradley-King,DE,6-3,254,25,-,-,-,-,-
New England Patriots,16,Malik Cunningham,QB,6-0,188,--,1,-,-,-,-
New England Patriots,65,James Ferentz,C,6-2,300,34,6,-,-,-,-
New England Patriots,53,Joe Giles-Harris,LB,6-2,240,26,2,-,-,-,Schwartz & Feinsod
New England Patriots,36,Kevin Harris,RB,5-10,225,22,1,-,-,-,Element Sports Group
New England Patriots,-,Azizi Hearn,DB,6-0,204,--,1,-,-,-,-
New England Patriots,97,Trysten Hill,DT,6-3,310,25,4,Brian Mackler/Jonathan Perzley,"SPORTSTARS, INC.","Jonathan Perzley, Brian Mackler","SPORTSTARS, INC."
New England Patriots,75,Conor McDermott,OT,6-8,305,31,6,-,-,-,CAA Sports
New England Patriots,43,Calvin Munson,LB,6-0,243,28,4,Murphy McGuire,Octagon,-,Octagon
New England Patriots,66,Kody Russey,C,6-2,300,25,1,-,-,-,-
New England Patriots,87,Matt Sokol,TE,6-5,249,27,1,Daniel Connell,IHC Sports,-,IHC Sports
New England Patriots,64,Andrew Stueber,OT,6-6,325,24,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
New England Patriots,-,Patrick Taylor,RB,6-2,217,25,2,Christopher Cabott,Equity Sports,Christopher Cabott,Equity Sports
