Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
New York Giants,25,Deonte Banks,DB,6-2,205,--,1,Joel Segal,WME Football,"Ben Renzin, Joel Segal",WME Football
New York Giants,26,Saquon Barkley,RB,6-0,232,26,5,Erik Burkhardt,Roc Nation Sports,"Kim Miale, CAA Sports",Roc Nation Sports
New York Giants,45,Carlos Basham,LB,6-3,274,25,2,-,-,Tyler Urban,Roc Nation Sports
New York Giants,82,Daniel Bellinger,TE,6-5,253,23,1,Jack Bechta,JB Sports Inc.,-,JB Sports Inc.
New York Giants,24,Dane Belton,DB,6-1,205,22,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,68,Ben Bredeson,OG,6-5,315,25,3,Travis Allen,Athletes First,-,Athletes First
New York Giants,31,Matt Breida,RB,5-10,190,28,6,Devin Brunson,1 of 1 Agency,Andy Simms,1 of 1 Agency
New York Giants,47,Cam Brown,LB,6-5,233,25,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,83,Lawrence Cager,TE,6-5,220,26,1,-,-,-,-
New York Giants,0,Parris Campbell,WR,6-0,208,26,4,Joel Segal/Geoff Garmhausen/Chafie Fields,WME Football,"Joel Segal, Greg Barnett, Chafie Fields, Geoff Garmhausen",Lagardere Sports
New York Giants,35,Jashaun Corbin,RB,6-0,221,23,1,-,-,-,-
New York Giants,52,Carter Coughlin,LB,6-3,236,26,3,Travis Allen,Athletes First,-,Athletes First
New York Giants,98,D.J. Davidson,DT,6-3,327,23,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,15,Tommy DeVito,QB,6-2,210,--,1,-,-,-,-
New York Giants,28,Cordale Flott,DB,6-1,175,24,1,-,-,-,MVA Sports
New York Giants,6,Jamie Gillan,P,6-1,207,26,4,-,-,-,-
New York Giants,64,Mark Glowinski,OG,6-4,310,31,8,Murphy McGuire,Octagon,-,Octagon
New York Giants,65,Sean Harlow,OG,6-4,284,28,3,-,-,-,Off-Tackle Sports Management
New York Giants,37,Tre Hawkins,DB,6-3,195,--,1,-,-,-,-
New York Giants,18,Isaiah Hodgins,WR,6-3,201,25,2,George Elemont,Elite Athlete Management,-,Elite Athlete Management
New York Giants,30,Darnay Holmes,DB,5-10,195,25,2,Kyle Dolan,VaynerSports,-,VaynerSports
New York Giants,13,Jalin Hyatt,WR,6-0,185,--,1,-,-,-,CAA Sports
New York Giants,22,Adoree' Jackson,DB,5-11,185,28,6,-,-,-,Alliance Sports Management
New York Giants,34,Deon Jackson,RB,6-0,218,24,2,Jumaane Ford,1 of 1 Agency,Jumaane Ford,1 of 1 Agency
New York Giants,8,Daniel Jones,QB,6-5,230,26,4,Camron Hahn,Athletes First ,Camron Hahn,Athletes First 
New York Giants,59,Casey Kreiter,LS,6-1,250,33,7,Neil Cornrich,"NC Sports, LLC ",Neil Cornrich,"NC Sports, LLC "
New York Giants,97,Dexter Lawrence,DE,6-4,342,25,4,Joel Segal,WME Football,Joel Segal,Lagardere Sports
New York Giants,21,Bobby McCain,DB,5-9,196,30,8,Brian Fettner,Elevate Football,-,Elevate Football
New York Giants,44,Nick McCloud,DB,6-1,190,25,2,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,41,Micah McFadden,LB,6-2,232,23,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,60,Marcus McKethan,OG,6-7,335,23,1,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
New York Giants,29,Xavier McKinney,DB,6-0,201,25,3,David Mulugheta,Athletes First,David Mulugheta,Athletes First
New York Giants,77,Joshua Miles,OT,6-5,325,27,4,Chitta Mallik,Vanguard Sports Group,"Tony Paige, Chitta Mallik",Dream Point Sports
New York Giants,73,Evan Neal,OT,6-7,350,23,1,Nicole Lynn,Klutch Sports Group,Nicole Lynn,Klutch Sports Group
New York Giants,93,Rakeem Nunez-Roches,DT,6-2,307,30,8,William McElroy,Select Sports Group,Jeff Nalley,Select Sports Group
New York Giants,58,Bobby Okereke,LB,6-1,235,27,4,Chase Callahan/Ryan Tollner and Bruce Tollner,REP 1 Football and OG1 Athletes,"Ryan Tollner, Chase Callahan, Bruce Tollner",Rep 1 Sports
New York Giants,80,Gunner Olszewski,WR,6-0,190,26,4,Devin Brunson,1 of 1 Agency,Ken Sarnoff,1 of 1 Agency
New York Giants,39,Gervarrius Owens,DB,6-0,200,--,1,-,-,-,-
New York Giants,79,Tyre Phillips,OT,6-5,330,26,3,Paul DeRousselle,-,Paul DeRousselle,-
New York Giants,27,Jason Pinnock,DB,6-0,205,24,2,Joshua Grady,Grady Sports Agency,Joshua Grady,Grady Sports Agency
New York Giants,67,Justin Pugh,OG,6-5,311,33,10,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
New York Giants,95,Jordon Riley,DT,6-5,325,--,1,-,-,-,-
New York Giants,91,A'Shawn Robinson,DT,6-3,320,28,7,-,-,-,CAA Sports
New York Giants,17,Wan'Dale Robinson,WR,5-8,185,22,1,Adisa Bakari,The Sports & Entertainment Group ,-,The Sports & Entertainment Group 
New York Giants,61,John Michael Schmitz,C,6-4,310,--,1,Christopher Gittings,One West Sports Group,-,One West Sports Group
New York Giants,3,Sterling Shepard,WR,5-10,196,30,7,Travis Allen,Athletes First,-,Athletes First
New York Giants,19,Isaiah Simmons,LB,6-4,238,25,3,David Mulugheta,Athletes First,David Mulugheta,Athletes First
New York Giants,86,Darius Slayton,WR,6-1,194,26,4,Michael Perrett,Michael Perrett,Michael Perrett,Element Sports Group
New York Giants,5,Kayvon Thibodeaux,LB,6-5,258,22,1,Kelton Crenshaw,Priority Sports,Kelton Crenshaw,Klutch Sports Group
New York Giants,78,Andrew Thomas,OT,6-5,315,24,3,John Thornton,Roc Nation Sports,John Thornton,Roc Nation Sports
New York Giants,55,Jihad Ward,LB,6-5,287,29,7,-,-,-,CAA Sports
New York Giants,99,Cade York,K,6-1,206,22,1,Martin Fischman,Ballengee Group,-,Ballengee Group
New York Giants,23,Gary Brightwell,RB,6-1,218,24,2,Seth Katz,AMG Pro Sports ,Seth Katz,AMG Pro Sports 
New York Giants,57,Jarrad Davis,LB,6-1,238,27,6,Joel Segal,WME Football,Joel Segal,Lagardere Sports
New York Giants,67,Wyatt Davis,OG,6-4,315,24,2,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
New York Giants,75,Joshua Ezeudu,OT,6-4,308,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,6,Bryce Ford-Wheaton,WR,6-3,224,--,1,-,-,-,-
New York Giants,9,Graham Gano,K,6-2,202,36,13,-,-,-,-
New York Giants,20,Eric Gray,RB,5-10,210,--,1,-,-,-,-
New York Giants,-,J.C. Hassenauer,C,6-2,295,29,2,Blake Baratz,The Institute for Athletes ,Blake Baratz,The Institute for Athletes 
New York Giants,66,Shane Lemieux,OG,6-4,310,26,3,-,-,Schwartz & Feinsod,-
New York Giants,85,Chris Myarick,RB,6-5,261,28,2,-,-,-,-
New York Giants,51,Azeez Ojulari,LB,6-3,240,23,2,John Thornton,Roc Nation Sports,John Thornton,Roc Nation Sports
New York Giants,74,Matt Peart,OT,6-7,318,26,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Giants,2,Tyrod Taylor,QB,6-1,217,34,12,Adisa Bakari,The Sports & Entertainment Group,Adisa Bakari,-
New York Giants,12,Darren Waller,TE,6-6,245,31,6,Drew Rosenhaus/ Robert Bailey        ,Rosenhaus Sports Representation,"Drew Rosenhaus, Robert Bailey",Rosenhaus Sports Representation
New York Giants,33,Aaron Robinson,DB,6-1,193,--,2,Clifton Addison,Agency1 Athlete Management Group,"Ron Butler, Stan Aimes",Agency1
New York Giants,89,Tommy Sweeney,TE,6-4,251,28,4,Jared Fox/Alan Herman,"SPORTSTARS, INC.","Jared Fox, Alan Herman","SPORTSTARS, INC."
New York Giants,90,Ryder Anderson,DE,6-6,276,25,1,-,-,-,-
New York Giants,19,Matt Barkley,QB,6-2,227,33,10,Travis Allen,Athletes First,-,Athletes First
New York Giants,43,Darrian Beavers,LB,6-4,255,24,1,Charles Lilly,WME Sports,-,WME Sports
New York Giants,46,Randy Bullock,K,5-9,208,33,11,Joe Panos,Athletes First,Joe Panos,LMM Sports Management LLC
New York Giants,-,Yodny Cajuste,OT,6-5,310,27,3,-,-,-,-
New York Giants,49,Tomon Fox,LB,6-3,260,25,1,-,-,-,-
New York Giants,38,Kaleb Hayes,DB,6-0,195,--,1,-,-,-,-
New York Giants,48,Justin Hollins,LB,6-5,248,27,4,Frank Bauer,Sun West Sports,Frank Bauer,Sun West Sports
New York Giants,88,Dennis Houston,WR,6-1,198,24,1,-,-,-,-
New York Giants,84,Tyree Jackson,TE,6-7,249,26,2,Steve Caric,Wasserman Media Group ,Steve Caric,Wasserman Media Group 
New York Giants,54,Dyontae Johnson,LB,6-2,230,--,1,-,-,-,-
New York Giants,49,Ryan Jones,TE,6-3,247,--,1,-,-,-,-
New York Giants,62,Jalen Mayfield,OG,6-5,319,23,2,Patrick Collins,CAA Football,"Patrick Collins, Jimmy Sexton",CAA Football
New York Giants,-,Stantley Thomas-Oliver,DB,6-0,190,25,3,Ryan Beane,UA Sports,-,UA Sports
New York Giants,53,Oshane Ximines,LB,6-4,254,27,4,-,-,"Tory Dandy, Jimmy Sexton",CAA Football
