Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
New York Jets,25,Israel Abanikanda,RB,5-11,215,--,1,Peter Ariz,First Round Management,-,First Round Management
New York Jets,22,Tony Adams,DB,6-0,205,24,1,-,-,-,-
New York Jets,0,Adrian Amos,DB,6-0,218,30,9,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich",Equity Sports
New York Jets,53,Zaire Barnes,LB,6-1,232,--,1,-,-,-,-
New York Jets,48,Nick Bawden,RB,6-2,245,27,5,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, C.J. Laboy",Wasserman Media Group
New York Jets,77,Mekhi Becton,OT,6-7,363,24,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
New York Jets,29,Jarrick Bernard,DB,6-1,197,--,1,-,-,-,-
New York Jets,7,Tim Boyle,QB,6-4,232,29,5,Anthony Agnone,Eastern Athletic Services ,Anthony Agnone,Eastern Athletic Services 
New York Jets,16,Jason Brownlee,WR,6-2,198,--,1,-,-,-,-
New York Jets,30,Michael Carter,DB,5-10,184,24,2,Adisa Bakari,The Sports & Entertainment Group ,-,The Sports & Entertainment Group 
New York Jets,32,Michael Carter,RB,5-8,201,24,2,Adisa Bakari,The Sports & Entertainment Group ,-,The Sports & Entertainment Group 
New York Jets,19,Irvin Charles,WR,6-4,219,26,1,-,-,-,-
New York Jets,72,Micheal Clemons,DE,6-5,270,26,1,William McElroy,Select Sports Group,-,Select Sports Group
New York Jets,18,Randall Cobb,WR,5-10,192,33,12,-,-,Jimmy Sexton,CAA Sports
New York Jets,83,Tyler Conklin,TE,6-3,254,28,5,-,-,"Michael Perrett, Kevin McGuire",Element Sports Group
New York Jets,33,Dalvin Cook,RB,5-10,210,28,6,Zachary Hiller,LAA Sports,Zachary Hiller,LAA Sports
New York Jets,21,Ashtyn Davis,DB,6-1,202,27,3,Travis Allen,Athletes First,-,Athletes First
New York Jets,26,Brandin Echols,DB,5-10,175,--,2,Adisa Bakari,The Sports & Entertainment Group ,"Adisa Bakari, Jeffrey Whitney",The Sports & Entertainment Group
New York Jets,52,Samuel Eguavoen,LB,6-0,236,30,-,David Canter,GSE Worldwide Football,-,-
New York Jets,91,John Franklin-Myers,DE,6-4,288,27,5,Rilio Mastrantonio,Shark Sports Management,"Cliff Brady, Rilio Mastrantonio",Capital Sports Advisors
New York Jets,1,Ahmad Gardner,DB,6-3,200,23,1,-,-,-,Vayner Sports
New York Jets,82,Xavier Gipson,WR,5-9,189,--,1,-,-,-,-
New York Jets,63,Chris Glaser,OG,6-4,306,24,1,-,-,-,-
New York Jets,20,Breece Hall,RB,6-1,220,22,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
New York Jets,37,Bryce Hall,DB,6-1,202,26,3,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
New York Jets,42,Thomas Hennessy,LS,6-2,246,29,6,-,-,-,RSR Sports Management
New York Jets,47,Bryce Huff,LB,6-3,255,25,3,-,-,-,-
