Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Pittsburgh Steelers,57,Montravius Adams,DT,6-4,304,29,6,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Pittsburgh Steelers,54,Kwon Alexander,LB,6-1,227,29,8,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
Pittsburgh Steelers,74,Spencer Anderson,OT,6-5,305,--,1,-,-,-,-
Pittsburgh Steelers,19,Calvin Austin,WR,5-9,162,24,1,Morris Overstreet,United Sports Group,-,United Sports Group
Pittsburgh Steelers,95,Keeanu Benton,DT,6-4,309,--,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Pittsburgh Steelers,9,Chris Boswell,K,6-2,185,32,8,-,-,Jeff Nalle,-
Pittsburgh Steelers,13,Miles Boykin,WR,6-4,220,27,4,-,-,Bill Johnson,-
Pittsburgh Steelers,61,Mason Cole,C,6-5,298,27,5,Patrick Collins,CAA Football,"Jimmy Sexton, Patrick Collins, Jim Denton",CAA Football
Pittsburgh Steelers,60,Dylan Cook,OT,6-6,305,25,1,-,-,-,-
Pittsburgh Steelers,78,James Daniels,OG,6-4,327,26,5,Cedric Saunders/Brian Levy,Goal Line Football,"Cedric Saunders, Brian Levy",Goal Line Football
Pittsburgh Steelers,96,Breiden Fehoko,DT,6-3,300,27,2,-,-,-,-
Pittsburgh Steelers,39,Minkah Fitzpatrick,DB,6-1,207,26,5,Joel Segal and Chafie Fields        ,WME Football and Wasserman Media Group,"Joel Segal, Chafie Fields",Lagardere Sports
Pittsburgh Steelers,44,Markus Golden,LB,6-2,260,32,8,-,-,Tory Dandy,CAA Sports
Pittsburgh Steelers,22,Najee Harris,RB,6-1,232,25,2,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, C.J. Laboy",Wasserman Media Group
