Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
San Francisco 49ers,11,Brandon Aiyuk,WR,6-0,200,25,3,Ryan Williams,Athletes First,Ryan Williams,Athletes First
San Francisco 49ers,17,Brandon Allen,QB,6-2,209,31,6,Kyle Strongin,Range Sports,Kyle Strongin,-
San Francisco 49ers,91,Arik Armstead,DE,6-7,290,29,8,Joel Segal,WME Football,Joel Segal,Lagardere Unlimited
San Francisco 49ers,65,Aaron Banks,OG,6-5,325,26,2,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
San Francisco 49ers,10,Ronnie Bell,WR,6-0,192,--,1,-,-,-,-
San Francisco 49ers,97,Nick Bosa,DE,6-4,266,26,4,Brian Ayrault,WME Football,Brian Ayrault,WME Football
San Francisco 49ers,64,Jake Brendel,C,6-4,299,31,6,-,-,-,-
San Francisco 49ers,27,Ji'Ayir Brown,DB,5-11,202,--,1,Travis Allen,Athletes First,-,Athletes First
San Francisco 49ers,74,Spencer Burford,OT,6-4,300,23,1,Morris Overstreet,United Sports Group,-,United Sports Group
San Francisco 49ers,48,Oren Burks,LB,6-3,233,28,5,Steve Caric,Wasserman Media Group ,Steve Caric,Caric Sports Management
San Francisco 49ers,14,Sam Darnold,QB,6-3,225,26,5,-,-,"Jimmy Sexton, RJ Gonser, Jim Denton",CAA Sports
San Francisco 49ers,93,Kalia Davis,DT,6-2,310,25,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,32,Tyrion Davis-Price,RB,6-1,219,23,-,Vincent Taylor,Elite Loyalty Sports,-,-
San Francisco 49ers,82,Ross Dwelley,TE,6-5,235,28,5,-,-,-,-
San Francisco 49ers,55,Jon Feliciano,OG,6-4,325,31,7,Alan Herman,"SPORTSTARS, INC.",Alan Herman,"SPORTSTARS, INC."
San Francisco 49ers,94,Clelin Ferrell,DE,6-4,265,26,4,Joel Segal,WME Football,Joel Segal,Lagardere Sports
San Francisco 49ers,45,Demetrius Flannigan-Fowles,LB,6-2,223,27,3,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,31,Tashaun Gipson,DB,6-1,212,33,11,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,90,Kevin Givens,DL,6-1,285,26,3,-,-,-,MBK Sports
San Francisco 49ers,50,Jalen Graham,LB,6-3,220,--,1,-,-,-,-
San Francisco 49ers,57,Dre Greenlaw,LB,6-0,230,26,4,-,-,"Chris Turnage, JR Carroll",United Athlete Agents
San Francisco 49ers,5,Randy Gregory,LB,6-5,242,30,5,Peter Schaffer,Authentic Athletix ,Peter Schaffer,Authentic Athletix 
San Francisco 49ers,98,Javon Hargrave,DT,6-2,305,30,7,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
San Francisco 49ers,29,Talanoa Hufanga,DB,6-0,200,--,2,Leigh Steinberg/ Matthew Steinberg,Leigh Steinberg Sports,"Chris Cabott, Leigh Steinberg, Matthew Steinberg",Equity Sports
San Francisco 49ers,95,Drake Jackson,LB,6-4,273,22,1,Robert Bailey,Rosenhaus Sports Representation,-,Rosenhaus Sports Representation
San Francisco 49ers,15,Jauan Jennings,WR,6-3,212,26,2,-,-,Bus Cook,Bus Cook Sports
San Francisco 49ers,44,Kyle Juszczyk,RB,6-2,235,32,10,Jeremy Cohen,JL Sports,Joe Linta,JL Sports
San Francisco 49ers,99,Javon Kinlaw,DT,6-5,319,26,3,Todd France,Athletes First,"Todd France, Ben Renzin, Jimmy Sexton",CAA Sports
San Francisco 49ers,85,George Kittle,TE,6-4,250,30,6,Jack Bechta,JB Sports Inc.,Jack Bechta,JB Sports Inc.
San Francisco 49ers,2,Deommodore Lenoir,DB,5-10,200,--,2,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
San Francisco 49ers,24,Jordan Mason,RB,5-11,223,24,1,Jason Katz,Katz Brothers Sports,Jason Katz,Katz Brothers Sports
San Francisco 49ers,23,Christian McCaffrey,RB,5-11,205,27,6,-,-,-,Lagardere Sports
San Francisco 49ers,3,Ray Ray McCloud,WR,5-9,190,27,5,Deiric Jackson,Legacy Sports Advisors,Deiric Jackson,Legacy Sports Advisors
San Francisco 49ers,68,Colton McKivitz,OT,6-6,301,27,3,Blake Baratz,The Institute for Athletes ,-,The Institute for Athletes 
San Francisco 49ers,25,Elijah Mitchell,RB,5-10,200,--,2,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
San Francisco 49ers,4,Jake Moody,K,6-1,210,--,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,76,Jaylon Moore,OT,6-4,311,25,2,Jonathan Perzley/Brian Mackler,"SPORTSTARS, INC.","onathan Perzley, Brian Mackler, Jerard Roggio","SPORTSTARS, INC."
San Francisco 49ers,30,George Odum,DB,6-1,202,30,5,-,-,-,-
San Francisco 49ers,26,Isaiah Oliver,DB,6-0,210,27,5,Chase Callahan/Ryan Tollner,REP 1 Football,"Chase Callahan, Ryan Tollner",REP 1 Football
San Francisco 49ers,46,Taybor Pepper,LS,6-4,245,29,5,Kelli Masters,KMM Sports,-,KMM Sports
San Francisco 49ers,75,Matt Pryor,OT,6-7,332,28,5,Devin Brunson,1 of 1 Agency,Ken Sarnoff,1 of 1 Agency
San Francisco 49ers,13,Brock Purdy,QB,6-1,220,23,1,Kyle Strongin,Range Sports,Kyle Strongin,-
San Francisco 49ers,19,Deebo Samuel,WR,6-0,215,27,4,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
San Francisco 49ers,20,Ambry Thomas,DB,6-0,190,24,2,Drew Rosenhaus/Ryan Matha,Rosenhaus Sports Representation,"Drew Rosenhaus, Ryan Matha",Rosenhaus Sports Representation
San Francisco 49ers,7,Charvarius Ward,DB,6-1,196,27,5,Robert Brown,"Universal Sports & Entertainment Management, LLC ",-,Universal Sports & Entertainment
San Francisco 49ers,54,Fred Warner,LB,6-3,230,26,5,Justin Schulman,Athletes First,Justin Schulman,Athletes First
San Francisco 49ers,71,Trent Williams,OT,6-5,320,35,13,Vincent Taylor,Elite Loyalty Sports,Vincent Taylor,Elite Loyalty Sports
San Francisco 49ers,9,Brayden Willis,TE,6-4,240,--,1,-,-,-,-
San Francisco 49ers,53,Dee Winters,LB,5-11,227,--,1,-,-,-,-
San Francisco 49ers,18,Mitch Wishnowsky,P,6-2,220,31,4,Chase Callahan/Ryan Tollner and Bruce Tollner,REP 1 Football and  OG1 Athletes,"Bruce Tollner, Ryan Tollner, Chase Callahan",Rep 1 Sports
San Francisco 49ers,89,Charlie Woerner,TE,6-5,241,26,3,Stephen Dubin,"Yee & Dubin Sports, LLC",-,"Yee & Dubin Sports, LLC"
San Francisco 49ers,--,Chase Young,DE,6-5,264,24,3,Damarius Bilbo,Klutch Sports Group,Damarius Bilbo,Klutch Sports Group
San Francisco 49ers,63,Nick Zakelj,OT,6-6,316,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,55,Robert Beal,DE,6-4,250,--,1,-,-,-,-
San Francisco 49ers,6,Danny Gray,WR,6-0,200,24,1,-,-,-,Wasserman
San Francisco 49ers,81,Cameron Latu,TE,6-5,244,--,1,Derek Hawkridge and Sam Mirza/ Christopher Cabott,Steinberg Sports & Entertainment and Equity Sports,"Sam Mirza, Derek Hawkridge, Chris Cabott",Equity Sports
San Francisco 49ers,0,Sam Womack,DB,5-10,189,24,1,Jeremy Cohen,JL Sports,-,JL Sports
San Francisco 49ers,28,Darrell Luter,DB,6-0,190,--,1,-,-,-,-
San Francisco 49ers,58,Alex Barrett,DE,6-2,250,29,2,-,-,-,-
San Francisco 49ers,56,Austin Bryant,LB,6-5,150,26,4,Robert Brown,"Universal Sports & Entertainment Management, LLC",-,Universal Sports & Entertainment
San Francisco 49ers,84,Chris Conley,WR,6-3,205,31,8,Jonathan Perzley,"SPORTSTARS, INC.",Jonathan Perzley,"SPORTSTARS, INC."
San Francisco 49ers,--,Jesse Davis,OT,6-6,309,32,6,Jonathan Perzley/Brian Mackler,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
San Francisco 49ers,77,Alfredo Gutierrez,OT,6-9,332,27,1,-,-,-,-
San Francisco 49ers,41,Tayler Hawkins,DB,6-1,205,25,1,-,-,-,-
San Francisco 49ers,38,Shemar Jean-Charles,DB,5-10,184,25,2,Joseph Frio,Enter-Sports Management,-,Enter-Sports Management
San Francisco 49ers,61,Corey Luciano,C,6-4,307,--,1,-,-,-,-
San Francisco 49ers,60,Ilm Manning,OT,6-2,294,--,1,-,-,-,-
San Francisco 49ers,86,Tay Martin,WR,6-3,185,25,1,-,-,-,-
San Francisco 49ers,96,T.Y. McGill,DT,6-0,295,30,4,-,-,-,-
San Francisco 49ers,22,Jeremy McNichols,RB,5-9,205,27,3,-,-,-,-
San Francisco 49ers,59,Curtis Robinson,LB,6-3,235,--,2,-,-,-,-
San Francisco 49ers,83,Willie Snead,WR,5-11,195,31,8,Ezra Thompson,National Sports Agency,"Harold Lewis, Ezra Thompson",National Sports Agency
San Francisco 49ers,88,Jake Tonges,TE,6-4,240,24,1,-,-,-,-
San Francisco 49ers,2,Isaiah Winstead,WR,6-4,213,--,1,-,-,-,-
