Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Seattle Seahawks,33,Jamal Adams,DB,6-1,213,28,5,Robert Brown,"Universal Sports & Entertainment Management, LLC
",-,Universal Sports & Entertainment
Seattle Seahawks,95,Myles Adams,DE,6-2,290,25,1,-,-,-,-
Seattle Seahawks,44,Nick Bellore,LB,6-1,250,34,12,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Seattle Seahawks,19,Jake Bobo,WR,6-4,207,--,1,-,-,-,-
Seattle Seahawks,75,Anthony Bradford,OG,6-5,345,--,1,-,-,-,MVA Sports
Seattle Seahawks,56,Jordyn Brooks,LB,6-0,240,26,3,-,-,-,-
Seattle Seahawks,63,Evan Brown,C,6-2,305,27,4,-,-,-,-
Seattle Seahawks,22,Tre Brown,DB,5-10,185,26,2,Adisa Bakari,The Sports & Entertainment Group ,"Adisa Bakari, Jeffrey Whitney",The Sports & Entertainment Group
Seattle Seahawks,23,Artie Burns,DB,6-0,187,28,7,Drew Rosenhaus/ Robert Bailey,Rosenhaus Sports Representation,"Drew Rosenhaus, Robert Bailey",Rosenhaus Sports Representation
Seattle Seahawks,0,Devin Bush,LB,5-11,234,25,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Seattle Seahawks,26,Zach Charbonnet,RB,6-1,214,--,1,-,-,-,Vayner Sports
Seattle Seahawks,57,Frank Clark,LB,6-3,265,30,8,William McElroy,Select Sports Group,-,Select Sports Group
Seattle Seahawks,67,Charles Cross,OT,6-5,311,22,1,-,-,Self-Repped,Self-Repped
Seattle Seahawks,74,Jake Curhan,OT,6-6,316,25,2,-,-,Kenny Zuckerman,-
Seattle Seahawks,66,McClendon Curtis,OG,6-6,325,--,1,-,-,-,-
Seattle Seahawks,31,DeeJay Dallas,RB,5-10,214,25,3,George Elemont,Elite Athlete Management,-,Elite Athlete Management
Seattle Seahawks,4,Michael Dickson,P,6-2,208,27,5,Justin Schulman/Andrew Kessler,Athletes First,"Justin Schulman, Andrew Kessler",Athletes First
Seattle Seahawks,6,Quandre Diggs,DB,5-9,197,30,8,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Seattle Seahawks,89,Will Dissly,TE,6-4,265,27,5,Cameron Foster,Steinberg Sports & Entertainment,"Collin Roberts, Cameron Foster",Rep 1 Sports
Seattle Seahawks,97,Mario Edwards Jr.,DE,6-3,280,29,8,Peter Schaffer,Authentic Athletix ,Peter Schaffer,Authentic Athletix 
Seattle Seahawks,1,D'Wayne Eskridge,WR,5-9,190,26,2,-,-,"Doug Hendrickson, C.J. Laboy",Wasserman
Seattle Seahawks,87,Noah Fant,TE,6-4,249,25,4,Kyle McCarthy,Athletes First,Kyle McCarthy,Athletes First
Seattle Seahawks,64,Austin Faoliu,DT,6-3,292,24,1,-,-,-,-
