Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Tampa Bay Buccaneers,7,Shaquil Barrett,LB,6-2,250,30,9,,,,-,-,-,-
Tampa Bay Buccaneers,52,K.J. Britt,LB,6-0,235,24,2,,,,Drew Rosenhaus/Robert Bailey,Rosenhaus Sports Representation,"Drew Rosenhaus, Robert Bailey",Rosenhaus Sports Representation
Tampa Bay Buccaneers,5,Jake Camarda,P,6-1,193,24,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tampa Bay Buccaneers,54,Lavonte David,LB,6-1,233,33,11,,,,Mitchell Frankel ,Impact Sports Management ,Ron Butler,Impact Sports
Tampa Bay Buccaneers,24,Carlton Davis,DB,6-1,206,26,5,,,,Joel Segal/Chafie Fields,WME Football,"Joel Segal, Chafie Fields",Lagardere Sports
Tampa Bay Buccaneers,35,Jamel Dean,DB,6-1,206,27,4,,,,Erik Burkhardt,Roc Nation Sports,Erik Burkhardt,Select Sports Group
Tampa Bay Buccaneers,30,Dee Delaney,DB,5-11,200,28,2,,,,Anthony Agnone,Eastern Athletic Services ,-,Eastern Athletic Services 
Tampa Bay Buccaneers,8,SirVocea Dennis,LB,6-0,226,--,1,,,,-,-,-,-
Tampa Bay Buccaneers,0,YaYa Diaby,LB,6-3,263,--,1,,,,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
Tampa Bay Buccaneers,87,Payne Durham,TE,6-6,253,--,1,,,,-,-,-,-
Tampa Bay Buccaneers,22,Chase Edmonds,RB,5-9,205,27,5,,,,Casey Muir,Octagon,"Casey Muir, Tyler Urban",Octagon
Tampa Bay Buccaneers,13,Mike Evans,WR,6-5,231,30,9,,,,Darren Jones,Maven Sports Group,"Mike McCartney, Darren Jones",-
Tampa Bay Buccaneers,71,Matt Feiler,OG,6-6,330,31,6,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tampa Bay Buccaneers,96,Greg Gaines,DT,6-1,312,27,4,,,,Cameron Foster,Steinberg Sports & Entertainment,"Collin Roberts, Cameron Foster",Reign Sports
Tampa Bay Buccaneers,92,William Gholston,DE,6-6,281,32,10,,,,Blake Baratz,The Institute for Athletes ,Blake Baratz,The Institute for Athletes
Tampa Bay Buccaneers,49,Cam Gill,LB,6-3,240,25,3,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tampa Bay Buccaneers,14,Chris Godwin,WR,6-1,208,27,6,,,,-,-,Tory Dandy,CAA Football
Tampa Bay Buccaneers,67,Luke Goedeke,OT,6-5,312,24,1,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Tampa Bay Buccaneers,91,Mike Greene,DT,6-3,293,24,1,,,,-,-,-,-
Tampa Bay Buccaneers,70,Robert Hainsey,C,6-4,306,--,2,,,,Tommy Condon,CAA Football,"Tom Condon, Tommy Condon",CAA Football
Tampa Bay Buccaneers,90,Logan Hall,DE,6-6,283,23,1,,,,Christian Carter,Shark Sports Management,-,Shark Sports Management
Tampa Bay Buccaneers,32,Josh Hayes,DB,5-11,197,--,1,,,,-,-,-,-
Tampa Bay Buccaneers,29,Christian Izien,DB,5-8,197,--,1,,,,-,-,-,-
