Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Washington Commanders,93,Jonathan Allen,DT,6-3,300,28,6,-,-,-,The Institute for Athletes
Washington Commanders,40,Alex Armah,RB,6-1,255,29,5,-,-,Alex Armah,-
Washington Commanders,87,John Bates,TE,6-6,259,26,2,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports
Washington Commanders,12,Jacoby Brissett,QB,6-4,235,29,7,-,-,-,-
Washington Commanders,2,Dyami Brown,WR,6-0,195,24,2,-,-,Tory Dandy,CAA Sports
Washington Commanders,32,Terrell Burgess,DB,5-11,202,26,3,Travis Allen,Athletes First,-,Athletes First
Washington Commanders,35,Percy Butler,DB,6-0,191,23,1,-,-,-,MVA Sports
Washington Commanders,26,Tariq Castro-Fields,DB,6-1,197,24,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Washington Commanders,54,Camaron Cheeseman,LS,6-4,237,25,2,Brooks Henderson,International Sports Advisors,-,International Sports Advisors
Washington Commanders,76,Samuel Cosmi,OT,6-6,309,24,2,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports
Washington Commanders,41,Jabril Cox,LB,6-3,235,25,2,Andrew Ross,Upper Edge Sports,Andy Ross,Upper Edge Sports
Washington Commanders,83,Jamison Crowder,WR,5-9,177,30,8,-,-,Tory Dandy,Relativity Sports
Washington Commanders,31,Kamren Curl,DB,6-2,198,24,3,-,-,-,PFS Agency
Washington Commanders,52,Jamin Davis,LB,6-3,234,24,3,-,-,"David Mulugheta, Todd France, Andrew Kessler, Carmen Wallace",Athletes First
Washington Commanders,1,Jahan Dotson,WR,5-11,182,23,1,Lukman Abdulai,CAA Football,-,CAA Football
Washington Commanders,13,Emmanuel Forbes,DB,6-0,180,--,1,Andre Odom,Athletes First,Andre Odom,Athletes First
Washington Commanders,29,Kendall Fuller,DB,5-11,198,28,7,-,-,-,-
Washington Commanders,63,Nick Gates,C,6-5,312,27,5,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Washington Commanders,24,Antonio Gibson,RB,6-2,220,25,3,Morris Overstreet,United Sports Group,-,United Sports Group
Washington Commanders,45,De'Jon Harris,LB,6-0,245,26,1,-,-,-,-
Washington Commanders,55,K.J. Henry,DE,6-4,255,--,1,George Elemont,Elite Athlete Management,-,Elite Athlete Management
Washington Commanders,80,Curtis Hodges,TE,6-8,240,24,1,Blake Baratz,The Institute for Athletes ,Blake Baratz,-
Washington Commanders,34,Christian Holmes,DB,6-1,205,25,1,-,-,-,Entourage Sports
Washington Commanders,14,Sam Howell,QB,6-1,220,23,1,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Washington Commanders,47,Khaleke Hudson,LB,6-0,220,25,3,Travis Allen,Athletes First,-,Athletes First
Washington Commanders,36,Danny Johnson,DB,5-9,190,27,5,-,-,-,SportStars
Washington Commanders,50,Andre Jones,DE,6-5,258,--,1,-,-,-,-
Washington Commanders,69,Tyler Larsen,C,6-4,335,32,7,Murphy McGuire,Octagon,-,Octagon
Washington Commanders,72,Charles Leno,OT,6-3,302,32,9,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Washington Commanders,78,Cornelius Lucas,OT,6-8,327,32,8,-,-,-,-
Washington Commanders,20,Jartavius Martin,DB,6-0,195,--,1,Jason Bernstein,Clarity Football,-,Clarity Football
Washington Commanders,98,Phidarian Mathis,DT,6-4,312,25,1,Damarius Bilbo,Klutch Sports Group,-,Klutch Sports Group
Washington Commanders,51,David Mayo,LB,6-2,240,30,8,Derrick Fox,-,Derrick Fox,Derrick Fox Inc.
Washington Commanders,17,Terry McLaurin,WR,6-0,210,28,4,Andrew Baker,Exclusive Sports Group ,"Buddy Baker, Tony Bonagura",Exclusive Sports Group 
Washington Commanders,97,Efe Obada,DE,6-6,265,31,5,Carl Carey,"Champion Pro Consulting Group, Inc.",Carl Carey,champ
Washington Commanders,75,Chris Paul,OG,6-4,324,24,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Washington Commanders,94,Daron Payne,DT,6-3,320,26,5,Joel Segal,WME Football,Joel Segal,Lagardere Sports
Washington Commanders,3,Byron Pringle,WR,6-1,203,29,5,Jason Katz,Katz Brothers Sports,Jason Katz,Katz Brothers Sports
Washington Commanders,91,John Ridgeway,DT,6-5,321,24,1,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Washington Commanders,8,Brian Robinson,RB,6-1,228,24,1,Travis Allen,Athletes First,-,Athletes First
Washington Commanders,23,Christopher Rodriguez,RB,5-11,224,--,-,-,-,-,-
Washington Commanders,4,Curtis Samuel,WR,5-11,195,27,6,-,-,-,CAA Sports
Washington Commanders,73,Trenton Scott,OT,6-5,320,29,5,-,-,Graylan Crain,Select Sports Group
Washington Commanders,6,Joey Slye,K,5-11,213,27,4,-,-,-,-
Washington Commanders,96,James Smith-Williams,DE,6-4,265,26,3,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Washington Commanders,25,Benjamin St-Juste,DB,6-3,200,--,2,Rick Smith,Priority Sports & Entertainment,-,Priority Sports & Entertainment
Washington Commanders,53,Ricky Stromberg,C,6-4,313,--,1,Devin Brunson,1 of 1 Agency,-,1 of 1 Agency
Washington Commanders,82,Logan Thomas,TE,6-6,250,32,8,David Dunn,Athletes First,David Dunn,Athletes First
Washington Commanders,86,Mitchell Tinsley,WR,6-1,205,--,1,-,-,-,-
Washington Commanders,95,Casey Toohill,DE,6-5,254,27,3,-,-,-,Caric Sports Management
Washington Commanders,85,Cole Turner,TE,6-6,240,23,1,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports
Washington Commanders,5,Tress Way,P,6-1,220,33,9,Kelli Masters,KMM Sports,-,KMM Sports
Washington Commanders,71,Andrew Wylie,OT,6-6,309,29,5,-,-,-,-
