Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Anaheim Ducks,Alex Killorn,Left Wing,11,,,,Matt Keator,Win Hockey Agency
Anaheim Ducks,Frank Vatrano,Left Wing,8,,,,PETER FISH,Global Hockey Consultants
Anaheim Ducks,Max Jones,Left Wing,5,,,,Pat Brisson,CAA Sports LLC
Anaheim Ducks,Benoit-Olivier Groulx,Left Wing,2,,,,Pat Brisson,CAA Sports LLC
Anaheim Ducks,Ross Johnston,Left Wing,8,,,,DOUG SHEPHERD,Achieve Sports Management
Anaheim Ducks,Trevor Zegras DTD,Left Wing,3,,,,Pat Brisson,CAA Sports LLC
Anaheim Ducks,Chase De Leo IR-NR,Left Wing,1,,,,CLAUDE LEMIEUX,4sports Hockey
Anaheim Ducks,Leo Carlsson,Center,1,,,,Matt Keator,Win Hockey Agency
Anaheim Ducks,Mason McTavish,Center,2,,,,PATRICK MORRIS,Newport Sports Management Inc.
Anaheim Ducks,Adam Henrique,Center,13,,,,JOHN THORNTON,Top Shelf Sports Management LLC.
Anaheim Ducks,Sam Carrick,Center,7,,,,TODD REYNOLDS,Raze Sports
Anaheim Ducks,Isac Lundestrom IR-NR,Center,5,,,,PETER WALLEN,Alterno Global Management LLC
Anaheim Ducks,Troy Terry,Right Wing,6,,,,KURT OVERHARDT,"KO Sports, Inc."
Anaheim Ducks,Ryan Strome,Right Wing,10,,,,PATRICK MORRIS,Newport Sports Management Inc.
Anaheim Ducks,Jakob Silfverberg,Right Wing,11,,,,KEVIN EPP,"Titan Sports Management, Inc"
Anaheim Ducks,Brett Leason,Right Wing,2,,,,J.P. BARRY,CAA Sports LLC
Anaheim Ducks,Brock McGinn IR,Right Wing,8,,,,THANE CAMPBELL,"Pro Counsel International Inc,"
Anaheim Ducks,Cam Fowler,Left Defenseman,13,,,,Pat Brisson,CAA Sports LLC
Anaheim Ducks,Pavel Mintyukov,Left Defenseman,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Anaheim Ducks,Urho Vaakanainen,Left Defenseman,4,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Anaheim Ducks,Jackson LaCombe,Right Defenseman,1,,,,Pat Brisson,CAA Sports LLC
Anaheim Ducks,Ilya Lyubushkin,Right Defenseman,5,,,,CRAIG OSTER,Newport Sports Management Inc.
Anaheim Ducks,Radko Gudas,Right Defenseman,11,,,,ALLAIN ROY,"RSG Hockey, LLC"
Anaheim Ducks,Tristan Luneau,Right Defenseman,1,,,,DOM DEBLOIS,The Will Sports Group
Anaheim Ducks,Jamie Drysdale IR,Right Defenseman,3,,,,DAVID GAGNER,Wasserman Hockey
Anaheim Ducks,John Gibson,Goalie,10,,,,KURT OVERHARDT,"KO Sports, Inc."
Anaheim Ducks,Lukas Dostal,Goalie,2,,,,MICHAEL DEUTSCH,Eclipse Sports Management
