Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Arizona Coyotes,Clayton Keller,Left Wing,7,,,,SCOTT BARTLETT,Bartlett Hockey
Arizona Coyotes,Matias Maccelli,Left Wing,2,,,,IAN PULVER,The Will Sports Group
Arizona Coyotes,Michael Carcone,Left Wing,2,,,,MURRAY KOONTZ,WD Sports & Entertainment
Arizona Coyotes,Liam O'Brien,Left Wing,6,,,,ANDREW MALONEY,Maloney & Thompson Sports Management
Arizona Coyotes,Milos Kelemen,Left Wing,1,,,,J.P. BARRY,CAA Sports LLC
Arizona Coyotes,Jakub Voracek IR,Left Wing,14,,,,-,-
Arizona Coyotes,Barrett Hayton,Center,4,,,,PATRICK MORRIS,Newport Sports Management Inc.
Arizona Coyotes,Nick Bjugstad,Center,11,,,,BEN HANKINSON,Octagon Athlete Representation
Arizona Coyotes,Logan Cooley,Center,1,,,,SCOTT BARTLETT,Bartlett Hockey
Arizona Coyotes,Alex Kerfoot,Center,6,,,,-,-
Arizona Coyotes,Jack McBain IR,Center,2,,,,PATRICK MORRIS,Newport Sports Management Inc.
Arizona Coyotes,Bryan Little IR-LT,Center,15,,,,PAUL CAPIZZANO,Quartexx Management
Arizona Coyotes,Nick Schmaltz,Right Wing,7,,,,KURT OVERHARDT,"KO Sports, Inc."
Arizona Coyotes,Lawson Crouse,Right Wing,7,,,,ROBERT HOOPER,Octagon Athlete Representation
Arizona Coyotes,Jason Zucker,Right Wing,12,,,,EUSTACE KING,"O2K Worldwide Management Group, LLC"
Arizona Coyotes,Travis Boyd,Right Wing,6,,,,BEN HANKINSON,Octagon Athlete Representation
Arizona Coyotes,Janis Moser,Left Defenseman,2,,,,PATRICK MORRIS,Newport Sports Management Inc.
Arizona Coyotes,Juuso Valimaki,Left Defenseman,4,,,,DAVE COWAN,"O2K Worldwide Management Group, LLC"
Arizona Coyotes,Troy Stecher,Left Defenseman,7,,,,EUSTACE KING,"O2K Worldwide Management Group, LLC"
Arizona Coyotes,Michael Kesselring,Left Defenseman,1,,,,Matt Keator,Win Hockey Agency
Arizona Coyotes,Travis Dermott Out,Left Defenseman,6,,,,DAVID GAGNER,Wasserman Hockey
Arizona Coyotes,Shea Weber IR-LT,Left Defenseman,15,,,,JARRETT BOUSQUET,"Titan Sports Management, Inc"
Arizona Coyotes,Sean Durzi,Right Defenseman,2,,,,ALLAN WALSH,Octagon Athlete Representation
Arizona Coyotes,Matt Dumba,Right Defenseman,-,,,,CRAIG OSTER,Newport Sports Management Inc.
Arizona Coyotes,Josh Brown,Right Defenseman,5,,,,JASON HARSHAW,Driven Sports Group Inc.
Arizona Coyotes,Karel Vejmelka,Goalie,2,,,,RYAN BARNES,Quartexx Management
Arizona Coyotes,Connor Ingram,Goalie,2,,,,JASON DAVIDSON,Thunder Creek Professional Player Management
