Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Boston Bruins,Brad Marchand,Left Wing,14,,,,WADE ARNOTT,Newport Sports Management Inc.
Boston Bruins,James van Riemsdyk,Left Wing,14,,,,JUDD MOLDAVE,Wasserman Hockey
Boston Bruins,Danton Heinen,Left Wing,6,,,,ALLAIN ROY,"RSG Hockey, LLC"
Boston Bruins,Jakub Lauko,Left Wing,1,,,,J.P. BARRY,CAA Sports LLC
Boston Bruins,Patrick Brown,Left Wing,6,,,,IAN PULVER,The Will Sports Group
Boston Bruins,Milan Lucic IR-LT,Left Wing,16,,,,GERRY JOHANNSON,The Sports Corporation
Boston Bruins,Pavel Zacha,Center,8,,,,PAUL CAPIZZANO,Quartexx Management
Boston Bruins,Charlie Coyle,Center,11,,,,ROBERT NORTON,Pro Hockey Consulting
Boston Bruins,Matthew Poitras,Center,7,,,,JOHN WALTERS,The Will Sports Group
Boston Bruins,John Beecher,Center,1,,,,CAMERON STEWART,"KO Sports, Inc."
Boston Bruins,Morgan Geekie IR,Center,4,,,,JUDD MOLDAVE,Wasserman Hockey
Boston Bruins,David Pastrnak,Right Wing,9,,,,J.P. BARRY,CAA Sports LLC
Boston Bruins,Trent Frederic,Right Wing,5,,,,ALLAIN ROY,"RSG Hockey, LLC"
Boston Bruins,Jake DeBrusk,Right Wing,6,,,,RICK VALETTE,Octagon Athlete Representation
Boston Bruins,Oskar Steen,Right Wing,1,,,,JOAKIM PERSSON,KMJ Sports
Boston Bruins,Mason Lohrei,Left Defenseman,1,,,,BRIAN BARTLETT,Bartlett Hockey
Boston Bruins,Hampus Lindholm,Left Defenseman,10,,,,CLAUDE LEMIEUX,4sports Hockey
Boston Bruins,Derek Forbort,Left Defenseman,8,,,,BEN HANKINSON,Octagon Athlete Representation
Boston Bruins,Matt Grzelcyk IR-LT,Left Defenseman,7,,,,PETER FISH,Global Hockey Consultants
Boston Bruins,Charlie McAvoy,Right Defenseman,-,,,,MICHAEL CURRAN,Orr
Boston Bruins,Brandon Carlo,Right Defenseman,7,,,,CRAIG OSTER,Newport Sports Management Inc.
Boston Bruins,Kevin Shattenkirk,Right Defenseman,13,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Boston Bruins,Ian Mitchell,Right Defenseman,3,,,,GREGORY LANDRY,Newport Sports Management Inc.
Boston Bruins,Linus Ullmark,Goalie,8,,,,JOAKIM PERSSON,KMJ Sports
Boston Bruins,Jeremy Swayman,Goalie,3,,,,LEWIS GROSS,Sports Professional Management Inc.
