Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Buffalo Sabres,Jeff Skinner,Left Wing,13,,,,DONALD MEEHAN,Newport Sports Management Inc.
Buffalo Sabres,Jordan Greenway,Left Wing,6,,,,BRIAN BARTLETT,Bartlett Hockey
Buffalo Sabres,Zemgus Girgensons,Left Wing,9,,,,PAUL CAPIZZANO,Quartexx Management
Buffalo Sabres,Victor Olofsson,Left Wing,5,,,,CLAUDE LEMIEUX,4sports Hockey
Buffalo Sabres,Zach Benson IR,Left Wing,1,,,,ROSS GURNEY,R.W.G. Sport Management Ltd.
Buffalo Sabres,Tage Thompson,Center,6,,,,JERRY BUCKLEY,Buckley Sports Management
Buffalo Sabres,Casey Mittelstadt,Center,6,,,,NEIL SHEEHY,I-C-E Hockey Agency
Buffalo Sabres,Tyson Jost,Center,7,,,,J.P. BARRY,CAA Sports LLC
Buffalo Sabres,Peyton Krebs,Center,3,,,,KEVIN EPP,"Titan Sports Management, Inc"
Buffalo Sabres,Dylan Cozens,Right Wing,3,,,,ALLAIN ROY,"RSG Hockey, LLC"
Buffalo Sabres,John-Jason Peterka,Right Wing,2,,,,ALLAN WALSH,Octagon Athlete Representation
Buffalo Sabres,Kyle Okposo,Right Wing,16,,,,Pat Brisson,CAA Sports LLC
Buffalo Sabres,Lukas Rousek,Right Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Buffalo Sabres,Alex Tuch Out,Right Wing,7,,,,BRIAN BARTLETT,Bartlett Hockey
Buffalo Sabres,Jack Quinn IR-NR,Right Wing,2,,,,RANDY ROBITAILLE,"Edge Sports Management, LLC"
Buffalo Sabres,Rasmus Dahlin,Left Defenseman,5,,,,CRAIG OSTER,Newport Sports Management Inc.
Buffalo Sabres,Owen Power,Left Defenseman,2,,,,Pat Brisson,CAA Sports LLC
Buffalo Sabres,Connor Clifton,Left Defenseman,5,,,,ERIC QUINLAN & NICHOLAS MARTINO,Forward Hockey
Buffalo Sabres,Ryan Johnson,Left Defenseman,1,,,,-,-
Buffalo Sabres,Mattias Samuelsson,Right Defenseman,3,,,,Pat Brisson,CAA Sports LLC
Buffalo Sabres,Henri Jokiharju,Right Defenseman,5,,,,Markus Lehto,Wasserman Hockey
Buffalo Sabres,Erik Johnson,Right Defenseman,15,,,,Pat Brisson,CAA Sports LLC
Buffalo Sabres,Jacob Bryson,Right Defenseman,3,,,,ALLAIN ROY,"RSG Hockey, LLC"
Buffalo Sabres,Devon Levi,Goalie,1,,,,IAN PULVER,The Will Sports Group
Buffalo Sabres,Ukko-Pekka Luukkonen,Goalie,3,,,,Markus Lehto,Wasserman Hockey
Buffalo Sabres,Eric Comrie IR,Goalie,7,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
