Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Calgary Flames,Adam Ruzicka,Left Wing,3,,,,CRAIG OSTER,Newport Sports Management Inc.
Calgary Flames,Connor Zary,Left Wing,1,,,,MICHAEL KAYE,The Sports Corporation
Calgary Flames,Jonathan Huberdeau,Left Wing,11,,,,ALLAN WALSH,Octagon Athlete Representation
Calgary Flames,Yegor Sharangovich,Left Wing,3,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Calgary Flames,A.J. Greer,Left Wing,6,,,,PHILIPPE LECAVALIER,Quartexx Management
Calgary Flames,Jakob Pelletier IR-NR,Left Wing,1,,,,OLIVIER FORTIER,Momentum Hockey
Calgary Flames,Elias Lindholm,Center,10,,,,PETER WALLEN,Alterno Global Management LLC
Calgary Flames,Nazem Kadri,Center,14,,,,OLIVIER FORTIER,Momentum Hockey
Calgary Flames,Mikael Backlund,Center,15,,,,J.P. BARRY,CAA Sports LLC
Calgary Flames,Dillon Dube,Center,5,,,,DAVE COWAN,"O2K Worldwide Management Group, LLC"
Calgary Flames,Kevin Rooney IR-LT,Center,6,,,,PETER FISH,Global Hockey Consultants
Calgary Flames,Andrew Mangiapane,Right Wing,6,,,,RITCHIE WINTER,Raze Sports
Calgary Flames,Martin Pospisil,Right Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Calgary Flames,Blake Coleman,Right Wing,7,,,,BRIAN BARTLETT,Bartlett Hockey
Calgary Flames,Walker Duehr,Right Wing,2,,,,DEAN GRILLO,"O2K Worldwide Management Group, LLC"
Calgary Flames,MacKenzie Weegar,Left Defenseman,7,,,,MATTHEW EBBS,Propulsion Agency
Calgary Flames,Noah Hanifin,Left Defenseman,8,,,,Pat Brisson,CAA Sports LLC
Calgary Flames,Nikita Zadorov,Left Defenseman,10,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Calgary Flames,Oliver Kylington IR-LT,Left Defenseman,6,,,,J.P. BARRY,CAA Sports LLC
Calgary Flames,Rasmus Andersson,Right Defenseman,7,,,,CLAUDE LEMIEUX,4sports Hockey
Calgary Flames,Chris Tanev,Right Defenseman,13,,,,WADE ARNOTT,Newport Sports Management Inc.
Calgary Flames,Nick DeSimone,Right Defenseman,1,,,,ALLAN WALSH,Octagon Athlete Representation
Calgary Flames,Dennis Gilbert,Right Defenseman,4,,,,SCOTT BARTLETT,Bartlett Hockey
Calgary Flames,Jacob Markstrom DTD,Goalie,13,,,,PATRICK MORRIS,Newport Sports Management Inc.
Calgary Flames,Dan Vladar,Goalie,3,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Calgary Flames,Dustin Wolf,Goalie,1,,,,-,-
