Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Carolina Hurricanes,Andrei Svechnikov,Left Wing,5,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Carolina Hurricanes,Michael Bunting,Left Wing,4,,,,PAUL CAPIZZANO,Quartexx Management
Carolina Hurricanes,Jordan Martinook,Left Wing,9,,,,JEFF HELPERL,Thunder Creek Professional Player Management
Carolina Hurricanes,Stefan Noesen,Left Wing,9,,,,WADE ARNOTT,Newport Sports Management Inc.
Carolina Hurricanes,Sebastian Aho,Center,7,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Carolina Hurricanes,Jesperi Kotkaniemi,Center,5,,,,MARKUS LEHTO,Wasserman Hockey
Carolina Hurricanes,Jordan Staal,Center,17,,,,RICHARD CURRAN,Orr
Carolina Hurricanes,Jack Drury,Center,2,,,,-,-
Carolina Hurricanes,Seth Jarvis,Right Wing,2,,,,GERRY JOHANNSON,The Sports Corporation
Carolina Hurricanes,Martin Necas,Right Wing,6,,,,MICHAEL DEUTSCH,Eclipse Sports Management
Carolina Hurricanes,Teuvo Teravainen,Right Wing,10,,,,MARKUS LEHTO,Wasserman Hockey
Carolina Hurricanes,Jesper Fast,Right Wing,10,,,,KURT OVERHARDT,"KO Sports, Inc."
Carolina Hurricanes,Brendan Lemieux,Right Wing,6,,,,CLAUDE LEMIEUX,4sports Hockey
Carolina Hurricanes,Jaccob Slavin,Left Defenseman,8,,,,KURT OVERHARDT,"KO Sports, Inc."
Carolina Hurricanes,Brady Skjei,Left Defenseman,8,,,,WADE ARNOTT,Newport Sports Management Inc.
Carolina Hurricanes,Dmitry Orlov,Left Defenseman,11,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Carolina Hurricanes,Brent Burns,Right Defenseman,19,,,,RON SALCER,Icy Luck Inc.
Carolina Hurricanes,Brett Pesce,Right Defenseman,8,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Carolina Hurricanes,Tony DeAngelo,Right Defenseman,-,,,,Pat Brisson,CAA Sports LLC
Carolina Hurricanes,Jalen Chatfield,Right Defenseman,3,,,,DARREN FERRIS,Quartexx Management
Carolina Hurricanes,Antti Raanta,Goalie,10,,,,KEVIN EPP,"Titan Sports Management, Inc"
Carolina Hurricanes,Pyotr Kochetkov,Goalie,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Carolina Hurricanes,Jaroslav Halak,Goalie,16,,,,ALLAN WALSH,Octagon Athlete Representation
Carolina Hurricanes,Frederik Andersen IR,Goalie,10,,,,CLAUDE LEMIEUX,4sports Hockey
