Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Chicago Blackhawks,Nick Foligno,Left Wing,16,,,,PATRICK MORRIS,Newport Sports Management Inc.
Chicago Blackhawks,Tyler Johnson,Left Wing,11,,,,J.P. BARRY,CAA Sports LLC
Chicago Blackhawks,Boris Katchouk,Left Wing,2,,,,ROBERT HOOPER,Octagon Athlete Representation
Chicago Blackhawks,Reese Johnson,Left Wing,3,,,,MICHAEL O'RAFFERTY,Kaizen Sports & Entertainment Ltd
Chicago Blackhawks,Taylor Hall DTD,Left Wing,13,,,,DARREN FERRIS,Quartexx Management
Chicago Blackhawks,Samuel Savoie IR-NR,Left Wing,1,,,,DOM DEBLOIS,The Will Sports Group
Chicago Blackhawks,Connor Bedard,Center,1,,,,GREGORY LANDRY,Newport Sports Management Inc.
Chicago Blackhawks,Lukas Reichel,Center,2,,,,ALLAIN ROY,"RSG Hockey, LLC"
Chicago Blackhawks,Jason Dickinson,Center,8,,,,PATRICK MORRIS,Newport Sports Management Inc.
Chicago Blackhawks,Mackenzie Entwistle,Center,3,,,,PAUL CAPIZZANO,Quartexx Management
Chicago Blackhawks,Andreas Athanasiou Out,Center,8,,,,DARREN FERRIS,Quartexx Management
Chicago Blackhawks,Luke Philp IR-NR,Center,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Chicago Blackhawks,Philipp Kurashev,Right Wing,3,,,,Pat Brisson,CAA Sports LLC
Chicago Blackhawks,Taylor Raddysh,Right Wing,2,,,,DAVID GAGNER,Wasserman Hockey
Chicago Blackhawks,Corey Perry,Right Wing,18,,,,PATRICK MORRIS,Newport Sports Management Inc.
Chicago Blackhawks,Ryan Donato,Right Wing,6,,,,Matt Keator,Win Hockey Agency
Chicago Blackhawks,Colin Blackwell IR,Right Wing,4,,,,PETER FISH,Global Hockey Consultants
Chicago Blackhawks,Alex Vlasic,Left Defenseman,2,,,,SCOTT BARTLETT,Bartlett Hockey
Chicago Blackhawks,Kevin Korchinski,Left Defenseman,1,,,,DAVID KAYE,The Sports Corporation
Chicago Blackhawks,Wyatt Kaiser,Left Defenseman,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Chicago Blackhawks,Seth Jones,Right Defenseman,10,,,,Pat Brisson,CAA Sports LLC
Chicago Blackhawks,Connor Murphy,Right Defenseman,10,,,,STEPHEN BARTLETT,Bartlett Hockey
Chicago Blackhawks,Nikita Zaitsev,Right Defenseman,7,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Chicago Blackhawks,Isaak Phillips,Right Defenseman,1,,,,PAUL CAPIZZANO,Quartexx Management
Chicago Blackhawks,Jarred Tinordi IR,Right Defenseman,8,,,,WADE ARNOTT,Newport Sports Management Inc.
Chicago Blackhawks,Petr Mrazek,Goalie,11,,,,GERRY JOHANNSON,The Sports Corporation
Chicago Blackhawks,Arvid Soderblom,Goalie,2,,,,JARRETT BOUSQUET,"Titan Sports Management, Inc"
