Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Colorado Avalanche,Jonathan Drouin,Left Wing,9,,,,ALLAN WALSH,Octagon Athlete Representation
Colorado Avalanche,Tomas Tatar,Left Wing,12,,,,CRAIG OSTER,Newport Sports Management Inc.
Colorado Avalanche,Miles Wood,Left Wing,8,,,,PETER FISH,Global Hockey Consultants
Colorado Avalanche,Kurtis MacDermid (D),Left Wing,6,,,,IAN PULVER,The Will Sports Group
Colorado Avalanche,Artturi Lehkonen IR,Left Wing,7,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Colorado Avalanche,Gabriel Landeskog IR-LT,Left Wing,12,,,,PETER WALLEN,Alterno Global Management LLC
Colorado Avalanche,Nathan MacKinnon,Center,10,,,,Pat Brisson,CAA Sports LLC
Colorado Avalanche,Ryan Johansen,Center,12,,,,KURT OVERHARDT,"KO Sports, Inc."
Colorado Avalanche,Ross Colton,Center,3,,,,LEWIS GROSS,Sports Professional Management Inc.
Colorado Avalanche,Fredrik Olofsson,Center,-,,,,CLAUDE LEMIEUX,4sports Hockey
Colorado Avalanche,Andrew Cogliano Out,Center,16,,,,PAUL CAPIZZANO,Quartexx Management
Colorado Avalanche,Jean-Luc Foudy IR-NR,Center,1,,,,THANE CAMPBELL,"Pro Counsel International Inc,"
Colorado Avalanche,Valeri Nichushkin,Right Wing,8,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Colorado Avalanche,Mikko Rantanen,Right Wing,8,,,,ROBERT HOOPER,Octagon Athlete Representation
Colorado Avalanche,Logan O'Connor,Right Wing,5,,,,ALLAIN ROY,"RSG Hockey, LLC"
Colorado Avalanche,Joel Kiviranta,Right Wing,3,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Colorado Avalanche,Chris Wagner IR-NR,Right Wing,9,,,,JUSTIN DUBERMAN,Achieve Sports Management
Colorado Avalanche,Devon Toews,Left Defenseman,5,,,,ROSS GURNEY,R.W.G. Sport Management Ltd.
Colorado Avalanche,Bowen Byram,Left Defenseman,3,,,,KEVIN EPP,"Titan Sports Management, Inc"
Colorado Avalanche,Jack Johnson,Left Defenseman,17,,,,Pat Brisson,CAA Sports LLC
Colorado Avalanche,Caleb Jones,Left Defenseman,4,,,,Pat Brisson,CAA Sports LLC
Colorado Avalanche,Cale Makar,Right Defenseman,4,,,,BRIAN BARTLETT,Bartlett Hockey
Colorado Avalanche,Samuel Girard,Right Defenseman,6,,,,Pat Brisson,CAA Sports LLC
Colorado Avalanche,Josh Manson,Right Defenseman,9,,,,ROSS GURNEY,R.W.G. Sport Management Ltd.
Colorado Avalanche,Sam Malinski,Right Defenseman,1,,,,RICHARD EVANS,Wasserman Hockey
Colorado Avalanche,Alexandar Georgiev,Goalie,-,,,,GERRY JOHANNSON,The Sports Corporation
Colorado Avalanche,Ivan Prosvetov,Goalie,1,,,,CRAIG OSTER,Newport Sports Management Inc.
Colorado Avalanche,Pavel Francouz IR-LT,Goalie,4,,,,CRAIG OSTER,Newport Sports Management Inc.
