Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Columbus Blue Jackets,Dmitri Voronkov,Left Wing,1,,,,-,-
Columbus Blue Jackets,Yegor Chinakhov,Left Wing,2,,,,SHUMI BABAEV,Shumi Agency
Columbus Blue Jackets,Johnny Gaudreau,Left Wing,10,,,,LEWIS GROSS,Sports Professional Management Inc.
Columbus Blue Jackets,Alexandre Texier,Left Wing,4,,,,Markus Lehto,Wasserman Hockey
Columbus Blue Jackets,Adam Fantilli,Center,1,,,,Pat Brisson,CAA Sports LLC
Columbus Blue Jackets,Boone Jenner,Center,10,,,,JOSEPH RESNICK,JOSEPH RESNICK
Columbus Blue Jackets,Cole Sillinger,Center,2,,,,CRAIG OSTER,Newport Sports Management Inc.
Columbus Blue Jackets,Sean Kuraly,Center,7,,,,JUSTIN DUBERMAN,Achieve Sports Management
Columbus Blue Jackets,Mathieu Olivier,Center,4,,,,PHILIPPE LECAVALIER,Quartexx Management
Columbus Blue Jackets,Kirill Marchenko,Right Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Columbus Blue Jackets,Patrik Laine,Right Wing,7,,,,ANDY SCOTT,Octagon Athlete Representation
Columbus Blue Jackets,Jack Roslovic,Right Wing,7,,,,CLAUDE LEMIEUX,4sports Hockey
Columbus Blue Jackets,Justin Danforth,Right Wing,2,,,,JAY GROSSMAN,"Puck Agency, LLC"
Columbus Blue Jackets,Emil Bemstrom,Right Wing,4,,,,CLAUDE LEMIEUX,4sports Hockey
Columbus Blue Jackets,Damon Severson,Left Defenseman,9,,,,JASON DAVIDSON,Thunder Creek Professional Player Management
Columbus Blue Jackets,Zach Werenski,Left Defenseman,7,,,,JUDD MOLDAVE,Wasserman Hockey
Columbus Blue Jackets,David Jiricek,Left Defenseman,1,,,,ALLAN WALSH,Octagon Athlete Representation
Columbus Blue Jackets,Jake Bean,Left Defenseman,4,,,,JUDD MOLDAVE,Wasserman Hockey
Columbus Blue Jackets,Ivan Provorov,Right Defenseman,7,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Columbus Blue Jackets,Erik Gudbranson,Right Defenseman,12,,,,PATRICK MORRIS,Newport Sports Management Inc.
Columbus Blue Jackets,Adam Boqvist,Right Defenseman,4,,,,PETER WALLEN,Alterno Global Management LLC
Columbus Blue Jackets,Andrew Peeke,Right Defenseman,4,,,,SERGE PAYER,Unlimited Sports Management
Columbus Blue Jackets,Elvis Merzlikins,Goalie,4,,,,GERRY JOHANNSON,The Sports Corporation
Columbus Blue Jackets,Spencer Martin,Goalie,3,,,,PAUL CAPIZZANO,Quartexx Management
Columbus Blue Jackets,Daniil Tarasov IR-NR,Goalie,2,,,,J.P. BARRY,CAA Sports LLC
