Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Dallas Stars,Jason Robertson,Left Wing,4,,,,Pat Brisson,CAA Sports LLC
Dallas Stars,Jamie Benn,Left Wing,14,,,,RICHARD EVANS,Wasserman Hockey
Dallas Stars,Mason Marchment,Left Wing,4,,,,PAUL CAPIZZANO,Quartexx Management
Dallas Stars,Sam Steel,Left Wing,5,,,,GERRY JOHANNSON,The Sports Corporation
Dallas Stars,Roope Hintz,Center,5,,,,MARKUS LEHTO,Wasserman Hockey
Dallas Stars,Wyatt Johnston,Center,1,,,,ANDY SCOTT,Octagon Athlete Representation
Dallas Stars,Matt Duchene,Center,14,,,,Pat Brisson,CAA Sports LLC
Dallas Stars,Radek Faksa,Center,8,,,,ALLAN WALSH,Octagon Athlete Representation
Dallas Stars,Ty Dellandrea,Center,3,,,,TODD REYNOLDS,Raze Sports
Dallas Stars,Joe Pavelski,Right Wing,17,,,,DANIEL PLANTE,Forward Hockey
Dallas Stars,Evgenii Dadonov,Right Wing,9,,,,MAXIM MOLIVER,Moliver Sports Management
Dallas Stars,Tyler Seguin,Right Wing,13,,,,IAN PULVER,The Will Sports Group
Dallas Stars,Craig Smith,Right Wing,12,,,,KEVIN MAGNUSON,"KO Sports, Inc."
Dallas Stars,Ryan Suter,Left Defenseman,18,,,,NEIL SHEEHY,I-C-E Hockey Agency
Dallas Stars,Esa Lindell,Left Defenseman,8,,,,MARKUS LEHTO	,Wasserman Hockey
Dallas Stars,Thomas Harley DTD,Left Defenseman,2,,,,ANDY SCOTT,Octagon Athlete Representation
Dallas Stars,Joel Hanley,Left Defenseman,8,,,,LEWIS GROSS,Sports Professional Management Inc.
Dallas Stars,Miro Heiskanen,Right Defenseman,5,,,,IAN PULVER,The Will Sports Group
Dallas Stars,Nils Lundkvist,Right Defenseman,2,,,,CLAUDE LEMIEUX,4sports Hockey
Dallas Stars,Jani Hakanpaa,Right Defenseman,4,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Dallas Stars,Jerad Rosburg IR-NR,Right Defenseman,1,,,,SCOTT BARTLETT,Bartlett Hockey
Dallas Stars,Jake Oettinger,Goalie,3,,,,BEN HANKINSON,Octagon Athlete Representation
Dallas Stars,Scott Wedgewood,Goalie,5,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
