Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Detroit Red Wings,Alex DeBrincat,Left Wing,6,,,,DAVID GAGNER,Wasserman Hockey
Detroit Red Wings,Andrew Copp,Left Wing,9,,,,KURT OVERHARDT,"KO Sports, Inc."
Detroit Red Wings,Robby Fabbri,Left Wing,8,,,,PATRICK MORRIS,Newport Sports Management Inc.
Detroit Red Wings,Daniel Sprong,Left Wing,7,,,,Pat Brisson,CAA Sports LLC
Detroit Red Wings,Dylan Larkin,Center,8,,,,Pat Brisson,CAA Sports LLC
Detroit Red Wings,J.T. Compher,Center,7,,,,KEVIN MAGNUSON,"KO Sports, Inc."
Detroit Red Wings,Joe Veleno,Center,3,,,,PHILIPPE LECAVALIER,Quartexx Management
Detroit Red Wings,Michael Rasmussen,Center,4,,,,DAVE COWAN,"O2K Worldwide Management Group, LLC"
Detroit Red Wings,Lucas Raymond,Right Wing,2,,,,J.P. BARRY,CAA Sports LLC
Detroit Red Wings,David Perron,Right Wing,16,,,,ALLAN WALSH,Octagon Athlete Representation
Detroit Red Wings,Christian Fischer,Right Wing,7,,,,CRAIG OSTER,Newport Sports Management Inc.
Detroit Red Wings,Klim Kostin,Right Wing,4,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
Detroit Red Wings,Austin Czarnik DTD,Right Wing,1,,,,BRIAN BARTLETT,Bartlett Hockey
Detroit Red Wings,Matt Luff IR,Right Wing,3,,,,ALLAN WALSH,Octagon Athlete Representation
Detroit Red Wings,Jake Walman,Left Defenseman,4,,,,WADE ARNOTT,Newport Sports Management Inc.
Detroit Red Wings,Ben Chiarot,Left Defenseman,10,,,,CRAIG OSTER,Newport Sports Management Inc.
Detroit Red Wings,Shayne Gostisbehere,Left Defenseman,9,,,,MARC LEVINE,"Sports Management Group, Inc."
Detroit Red Wings,Olli Maatta,Left Defenseman,10,,,,J.P. BARRY,CAA Sports LLC
Detroit Red Wings,Moritz Seider,Right Defenseman,2,,,,CLAUDE LEMIEUX,4sports Hockey
Detroit Red Wings,Jeff Petry,Right Defenseman,13,,,,WADE ARNOTT,Newport Sports Management Inc.
Detroit Red Wings,Justin Holl,Right Defenseman,6,,,,BRIAN BARTLETT,Bartlett Hockey
Detroit Red Wings,Ville Husso,Goalie,3,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Detroit Red Wings,James Reimer,Goalie,13,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
Detroit Red Wings,Alex Lyon,Goalie,6,,,,PETE RUTILI,Wasserman Hockey
