Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Edmonton Oilers,Ryan Nugent-Hopkins,Left Wing,12,,,,RICK VALETTE,Octagon Athlete Representation
Edmonton Oilers,Evander Kane,Left Wing,14,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Edmonton Oilers,Dylan Holloway,Left Wing,1,,,,BLAKE ROBSON,Dynasty Hockey Group
Edmonton Oilers,Raphael Lavoie,Left Wing,1,,,,PHILIPPE LECAVALIER,Quartexx Management
Edmonton Oilers,Connor McDavid,Center,8,,,,JUDD MOLDAVE,Wasserman Hockey
Edmonton Oilers,Leon Draisaitl,Center,9,,,,ANDY SCOTT,Octagon Athlete Representation
Edmonton Oilers,Ryan McLeod,Center,3,,,,JOSEPH RESNICK,JOSEPH RESNICK
Edmonton Oilers,James Hamblin,Center,1,,,,RICK VALETTE,Octagon Athlete Representation
Edmonton Oilers,Sam Gagner,Right Wing,15,,,,JUDD MOLDAVE,Wasserman Hockey
Edmonton Oilers,Zach Hyman,Right Wing,8,,,,TODD REYNOLDS,Raze Sports
Edmonton Oilers,Warren Foegele,Right Wing,6,,,,JOSEPH RESNICK,JOSEPH RESNICK
Edmonton Oilers,Derek Ryan,Right Wing,8,,,,DEREK RYAN,Derek Ryan
Edmonton Oilers,Connor Brown DTD,Right Wing,8,,,,DAVID GAGNER,Wasserman Hockey
Edmonton Oilers,Mattias Janmark DTD,Right Wing,7,,,,PETER WALLEN,Alterno Global Management LLC
Edmonton Oilers,Darnell Nurse,Left Defenseman,9,,,,PAUL CAPIZZANO,Quartexx Management
Edmonton Oilers,Mattias Ekholm,Left Defenseman,12,,,,KURT OVERHARDT,"KO Sports, Inc."
Edmonton Oilers,Brett Kulak,Left Defenseman,9,,,,GERRY JOHANNSON,The Sports Corporation
Edmonton Oilers,Cody Ceci,Right Defenseman,10,,,,J.P. BARRY,CAA Sports LLC
Edmonton Oilers,Evan Bouchard,Right Defenseman,4,,,,DAVID GAGNER,Wasserman Hockey
Edmonton Oilers,Vincent Desharnais,Right Defenseman,1,,,,PHILIPPE LECAVALIER,Quartexx Management
Edmonton Oilers,Stuart Skinner,Goalie,3,,,,J.P. BARRY,CAA Sports LLC
Edmonton Oilers,Calvin Pickard,Goalie,8,,,,RITCHIE WINTER,Raze Sports
Edmonton Oilers,Ryan Fanti IR-NR,Goalie,1,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
