Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Florida Panthers,Evan Rodrigues,Left Wing,7,,,,DARREN FERRIS,Quartexx Management
Florida Panthers,Carter Verhaeghe,Left Wing,3,,,,IAN PULVER,The Will Sports Group
Florida Panthers,Eetu Luostarinen,Left Wing,3,,,,SIMO NIIRANEN,Wasserman Hockey
Florida Panthers,Ryan Lomberg,Left Wing,4,,,,BRIAN BARTLETT,Bartlett Hockey
Florida Panthers,Jonah Gadjovich IR,Left Wing,1,,,,JASON HARSHAW,Driven Sports Group Inc.
Florida Panthers,Aleksander Barkov,Center,9,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Florida Panthers,Sam Bennett,Center,8,,,,DARREN FERRIS,Quartexx Management
Florida Panthers,Anton Lundell,Center,1,,,,Markus Lehto,Wasserman Hockey
Florida Panthers,Kevin Stenlund,Center,4,,,,JARRETT BOUSQUET,"Titan Sports Management, Inc"
Florida Panthers,Sam Reinhart,Right Wing,8,,,,CRAIG OSTER,Newport Sports Management Inc.
Florida Panthers,Matthew Tkachuk,Right Wing,6,,,,CRAIG OSTER,Newport Sports Management Inc.
Florida Panthers,Nick Cousins,Right Wing,8,,,,ANDY SCOTT,Octagon Athlete Representation
Florida Panthers,Steven Lorentz,Right Wing,2,,,,ROBERT HOOPER,Octagon Athlete Representation
Florida Panthers,William Lockwood,Right Wing,1,,,,SHAWN HUNWICK,"KO Sports, Inc."
Florida Panthers,Gustav Forsling,Left Defenseman,5,,,,JOAKIM PERSSON,KMJ Sports
Florida Panthers,Niko Mikkola,Left Defenseman,3,,,,Markus Lehto,Wasserman Hockey
Florida Panthers,Josh Mahura,Left Defenseman,4,,,,GREGORY LANDRY,Newport Sports Management Inc.
Florida Panthers,Mike Reilly,Left Defenseman,7,,,,Pat Brisson,CAA Sports LLC
Florida Panthers,Oliver Ekman-Larsson,Right Defenseman,10,,,,KEVIN EPP,"Titan Sports Management, Inc"
Florida Panthers,Dmitry Kulikov,Right Defenseman,13,,,,CRAIG OSTER,Newport Sports Management Inc.
Florida Panthers,Uvis Balinskis,Right Defenseman,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Florida Panthers,Aaron Ekblad IR-LT,Right Defenseman,8,,,,DAVID GAGNER,Wasserman Hockey
Florida Panthers,Brandon Montour IR,Right Defenseman,6,,,,Matt Keator,Win Hockey Agency
Florida Panthers,Sergei Bobrovsky,Goalie,12,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
Florida Panthers,Anthony Stolarz,Goalie,5,,,,ALLAIN ROY,"RSG Hockey, LLC"
