Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Los Angeles Kings,Quinton Byfield,Left Wing,2,,,,DAVID GAGNER,Wasserman Hockey
Los Angeles Kings,Kevin Fiala,Left Wing,8,,,,CRAIG OSTER,Newport Sports Management Inc.
Los Angeles Kings,Carl Grundstrom,Left Wing,4,,,,J.P. BARRY,CAA Sports LLC
Los Angeles Kings,Alex Laferriere,Left Wing,1,,,,MICHAEL CURRAN,Orr
Los Angeles Kings,Viktor Arvidsson IR-LT,Left Wing,8,,,,KURT OVERHARDT,"KO Sports, Inc."
Los Angeles Kings,Anze Kopitar,Center,16,,,,Pat Brisson,CAA Sports LLC
Los Angeles Kings,Phillip Danault,Center,8,,,,DONALD MEEHAN,Newport Sports Management Inc.
Los Angeles Kings,Pierre-Luc Dubois,Center,5,,,,Pat Brisson,CAA Sports LLC
Los Angeles Kings,Blake Lizotte,Center,4,,,,DANIEL PLANTE,Forward Hockey
Los Angeles Kings,Adrian Kempe,Right Wing,6,,,,J.P. BARRY,CAA Sports LLC
Los Angeles Kings,Trevor Moore,Right Wing,4,,,,MURRAY KOONTZ,WD Sports & Entertainment
Los Angeles Kings,Arthur Kaliyev,Right Wing,2,,,,IAN PULVER,The Will Sports Group
Los Angeles Kings,Trevor Lewis,Right Wing,14,,,,WADE ARNOTT,Newport Sports Management Inc.
Los Angeles Kings,Mikey Anderson,Left Defenseman,-,,,,JAY GROSSMAN,"Puck Agency, LLC"
Los Angeles Kings,Vladislav Gavrikov,Left Defenseman,3,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Los Angeles Kings,Andreas Englund,Left Defenseman,4,,,,J.P. BARRY,CAA Sports LLC
Los Angeles Kings,Drew Doughty,Right Defenseman,14,,,,DREW DOUGHTY,DREW DOUGHTY
Los Angeles Kings,Matt Roy,Right Defenseman,4,,,,-,-
Los Angeles Kings,Jordan Spence,Right Defenseman,1,,,,PETER MACTAVISH,Quartexx Management
Los Angeles Kings,Tobias Bjornfot,Right Defenseman,2,,,,CLAUDE LEMIEUX,4sports Hockey
Los Angeles Kings,Cam Talbot,Goalie,9,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Los Angeles Kings,Pheonix Copley,Goalie,4,,,,GERRY JOHANNSON,The Sports Corporation
