Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Minnesota Wild,Kirill Kaprizov,Left Wing,2,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
Minnesota Wild,Marcus Johansson,Left Wing,12,,,,J.P. BARRY,CAA Sports LLC
Minnesota Wild,Marcus Foligno,Left Wing,11,,,,PATRICK MORRIS,Newport Sports Management Inc.
Minnesota Wild,Brandon Duhaime,Left Wing,1,,,,RICHARD EVANS,Wasserman Hockey
Minnesota Wild,Sam Hentges IR-NR,Left Wing,1,,,,EDWARD WARD,Newport Sports Management Inc.
Minnesota Wild,Marco Rossi,Center,1,,,,IAN PULVER,The Will Sports Group
Minnesota Wild,Joel Eriksson Ek,Center,6,,,,CLAUDE LEMIEUX,4sports Hockey
Minnesota Wild,Ryan Hartman,Center,8,,,,MATTHEW OATES,"O2K Worldwide Management Group, LLC"
Minnesota Wild,Connor Dewar,Center,1,,,,TOBIN WRIGHT,"RSG Hockey, LLC"
Minnesota Wild,Nicolas Petan,Center,7,,,,KEVIN EPP,"Titan Sports Management, Inc"
Minnesota Wild,Michael Milne IR-NR,Center,1,,,,ROSS GURNEY,R.W.G. Sport Management Ltd.
Minnesota Wild,Caedan Bankier IR-NR,Center,1,,,,RICK VALETTE,Octagon Athlete Representation
Minnesota Wild,Mats Zuccarello,Right Wing,12,,,,CRAIG OSTER,Newport Sports Management Inc.
Minnesota Wild,Matt Boldy,Right Wing,1,,,,BRIAN BARTLETT,Bartlett Hockey
Minnesota Wild,Patrick Maroon,Right Wing,11,,,,BEN HANKINSON,Octagon Athlete Representation
Minnesota Wild,Vinni Lettieri,Right Wing,4,,,,BEN HANKINSON,Octagon Athlete Representation
Minnesota Wild,Frederick Gaudreau IR-LT,Right Wing,5,,,,Pat Brisson,CAA Sports LLC
Minnesota Wild,Jacob Middleton,Left Defenseman,4,,,,JOSEPH RESNICK,JOSEPH RESNICK
Minnesota Wild,Jonas Brodin,Left Defenseman,10,,,,PETER WALLEN,Alterno Global Management LLC
Minnesota Wild,Dakota Mermis,Left Defenseman,1,,,,KURT OVERHARDT,"KO Sports, Inc."
Minnesota Wild,Jared Spurgeon,Right Defenseman,12,,,,EUSTACE KING,"O2K Worldwide Management Group, LLC"
Minnesota Wild,Brock Faber,Right Defenseman,1,,,,SCOTT BARTLETT,Bartlett Hockey
Minnesota Wild,Zach Bogosian,Right Defenseman,14,,,,DARREN FERRIS,Quartexx Management
Minnesota Wild,Jon Merrill,Right Defenseman,9,,,,SHAWN HUNWICK,"KO Sports, Inc."
Minnesota Wild,Alex Goligoski IR-LT,Right Defenseman,15,,,,BEN HANKINSON,Octagon Athlete Representation
Minnesota Wild,Marc-Andre Fleury,Goalie,18,,,,ALLAN WALSH,Octagon Athlete Representation
Minnesota Wild,Filip Gustavsson,Goalie,2,,,,KURT OVERHARDT,"KO Sports, Inc."
Minnesota Wild,Jesper Wallstedt,Goalie,1,,,,GERRY JOHANNSON,The Sports Corporation
