Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Montreal Canadiens,Alex Newhook,Left Wing,2,,,,PAUL CAPIZZANO,Quartexx Management
Montreal Canadiens,Cole Caufield,Left Wing,2,,,,Pat Brisson,CAA Sports LLC
Montreal Canadiens,Tanner Pearson,Left Wing,6,,,,JOSEPH RESNICK,JOSEPH RESNICK
Montreal Canadiens,Rafael Harvey-Pinard,Left Wing,1,,,,PHILIPPE LECAVALIER,Quartexx Management
Montreal Canadiens,Jesse Ylonen,Left Wing,1,,,,IAN PULVER,The Will Sports Group
Montreal Canadiens,Nick Suzuki,Center,3,,,,DAVID GAGNER,Wasserman Hockey
Montreal Canadiens,Christian Dvorak,Center,6,,,,KEVIN MAGNUSON,"KO Sports, Inc."
Montreal Canadiens,Sean Monahan,Center,10,,,,PATRICK MORRIS,Newport Sports Management Inc.
Montreal Canadiens,Jake Evans,Center,3,,,,BRIAN MACDONALD,Siskinds Sports Management
Montreal Canadiens,Kirby Dach IR,Center,3,,,,GERRY JOHANNSON,The Sports Corporation
Montreal Canadiens,Josh Anderson,Right Wing,8,,,,DARREN FERRIS,Quartexx Management
Montreal Canadiens,Juraj Slafkovsky,Right Wing,1,,,,GERRY JOHANNSON,The Sports Corporation
Montreal Canadiens,Brendan Gallagher,Right Wing,10,,,,GERRY JOHANNSON,The Sports Corporation
Montreal Canadiens,Michael Pezzetta,Right Wing,1,,,,PAUL CAPIZZANO,Quartexx Management
Montreal Canadiens,Mike Matheson,Left Defenseman,-,,,,PHILIPPE LECAVALIER,Quartexx Management
Montreal Canadiens,Kaiden Guhle,Left Defenseman,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Montreal Canadiens,Arber Xhekaj,Left Defenseman,1,,,,VIKTOR SALJANIN,Innovative Hockey Consultants
Montreal Canadiens,Justin Barron,Right Defenseman,1,,,,WADE ARNOTT,Newport Sports Management Inc.
Montreal Canadiens,Johnny Kovacevic,Right Defenseman,-,,,,RICHARD EVANS,Wasserman Hockey
Montreal Canadiens,Jordan Harris,Right Defenseman,1,,,,ERIC QUINLAN & NICHOLAS MARTINO,Forward Hockey
Montreal Canadiens,Gustav Lindstrom,Right Defenseman,3,,,,CRAIG OSTER,Newport Sports Management Inc.
Montreal Canadiens,David Savard IR,Right Defenseman,11,,,,IAN PULVER,The Will Sports Group
Montreal Canadiens,Chris Wideman IR,Right Defenseman,5,,,,ALLAIN ROY,"RSG Hockey, LLC"
Montreal Canadiens,Jake Allen,Goalie,9,,,,ALLAIN ROY,"RSG Hockey, LLC"
Montreal Canadiens,Sam Montembeault,Goalie,3,,,,PAUL CORBEIL,Paraphe Sports-Management
Montreal Canadiens,Cayden Primeau,Goalie,1,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
Montreal Canadiens,Carey Price IR-LT,Goalie,14,,,,GERRY JOHANNSON,The Sports Corporation
