Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Nashville Predators,Filip Forsberg,Left Wing,10,,,,J.P. BARRY,CAA Sports LLC
Nashville Predators,Kiefer Sherwood,Left Wing,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Nashville Predators,Juuso Parssinen,Left Wing,1,,,,JERRY BUCKLEY,Buckley Sports Management
Nashville Predators,Liam Foudy,Left Wing,4,,,,THANE CAMPBELL,"Pro Counsel International Inc,"
Nashville Predators,Ryan O'Reilly,Center,13,,,,PATRICK MORRIS,Newport Sports Management Inc.
Nashville Predators,Thomas Novak,Center,1,,,,BEN HANKINSON,Octagon Athlete Representation
Nashville Predators,Cody Glass,Center,3,,,,MURRAY KOONTZ,WD Sports & Entertainment
Nashville Predators,Colton Sissons,Center,8,,,,MURRAY KOONTZ,WD Sports & Entertainment
Nashville Predators,Michael McCarron,Center,4,,,,WADE ARNOTT,Newport Sports Management Inc.
Nashville Predators,Gustav Nyquist,Right Wing,10,,,,WADE ARNOTT,Newport Sports Management Inc.
Nashville Predators,Luke Evangelista,Right Wing,1,,,,DAVID GAGNER,Wasserman Hockey
Nashville Predators,Philip Tomasino,Right Wing,1,,,,WADE ARNOTT,Newport Sports Management Inc.
Nashville Predators,Cole Smith,Right Wing,2,,,,EUSTACE KING,"O2K Worldwide Management Group, LLC"
Nashville Predators,Yakov Trenin,Right Wing,3,,,,SHUMI BABAEV,Shumi Agency
Nashville Predators,Roman Josi,Left Defenseman,11,,,,JUDD MOLDAVE,Wasserman Hockey
Nashville Predators,Jeremy Lauzon,Left Defenseman,4,,,,Pat Brisson,CAA Sports LLC
Nashville Predators,Marc Del Gaizo,Left Defenseman,1,,,,MICHAEL CURRAN,Orr
Nashville Predators,Ryan McDonagh DTD,Left Defenseman,12,,,,BEN HANKINSON,Octagon Athlete Representation
Nashville Predators,Dante Fabbro,Right Defenseman,4,,,,J.P. BARRY,CAA Sports LLC
Nashville Predators,Alexandre Carrier,Right Defenseman,-,,,,PHILIPPE LECAVALIER,Quartexx Management
Nashville Predators,Tyson Barrie,Right Defenseman,11,,,,Pat Brisson,CAA Sports LLC
Nashville Predators,Luke Schenn IR,Right Defenseman,14,,,,BEN HANKINSON,Octagon Athlete Representation
Nashville Predators,Juuse Saros,Goalie,7,,,,KEVIN EPP,"Titan Sports Management, Inc"
Nashville Predators,Kevin Lankinen,Goalie,1,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
