Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
New Jersey Devils,Timo Meier,Left Wing,6,,,,CLAUDE LEMIEUX,4sports Hockey
New Jersey Devils,Tyler Toffoli,Left Wing,10,,,,Pat Brisson,CAA Sports LLC
New Jersey Devils,Ondrej Palat,Left Wing,10,,,,CRAIG OSTER,Newport Sports Management Inc.
New Jersey Devils,Tomas Nosek,Left Wing,7,,,,J.P. BARRY,CAA Sports LLC
New Jersey Devils,Nolan Foote IR-NR,Left Wing,1,,,,KURT OVERHARDT,"KO Sports, Inc."
New Jersey Devils,Michael McLeod,Center,4,,,,JOSEPH RESNICK,Top Shelf Sports Management LLC.
New Jersey Devils,Dawson Mercer,Center,1,,,,-,-
New Jersey Devils,Erik Haula,Center,9,,,,ALLAIN ROY,"RSG Hockey, LLC"
New Jersey Devils,Chris Tierney,Center,8,,,,JOSEPH RESNICK,Top Shelf Sports Management LLC.
New Jersey Devils,Jack Hughes Out,Center,3,,,,Pat Brisson,CAA Sports LLC
New Jersey Devils,Nico Hischier Out,Center,5,,,,ALLAIN ROY,"RSG Hockey, LLC"
New Jersey Devils,Jesper Bratt,Right Wing,5,,,,JOAKIM PERSSON,KMJ Sports
New Jersey Devils,Alexander Holtz,Right Wing,1,,,,CRAIG OSTER,Newport Sports Management Inc.
New Jersey Devils,Curtis Lazar,Right Wing,8,,,,J.P. BARRY,CAA Sports LLC
New Jersey Devils,Nathan Bastian,Right Wing,3,,,,DAVID GAGNER,Wasserman Hockey
New Jersey Devils,Brian Halonen IR-NR,Right Wing,1,,,,JEFF HELPERL,Thunder Creek Professional Player Management
New Jersey Devils,Luke Hughes,Left Defenseman,1,,,,Pat Brisson,CAA Sports LLC
New Jersey Devils,Jonas Siegenthaler,Left Defenseman,4,,,,ALLAIN ROY,"RSG Hockey, LLC"
New Jersey Devils,Kevin Bahl,Left Defenseman,2,,,,DAVID GAGNER,Wasserman Hockey
New Jersey Devils,Colin Miller IR,Left Defenseman,7,,,,WADE ARNOTT,Newport Sports Management Inc.
New Jersey Devils,Dougie Hamilton,Right Defenseman,10,,,,J.P. BARRY,CAA Sports LLC
New Jersey Devils,John Marino,Right Defenseman,3,,,,PETER FISH,Global Hockey Consultants
New Jersey Devils,Brendan Smith,Right Defenseman,11,,,,MATTHEW OATES,"O2K Worldwide Management Group, LLC"
New Jersey Devils,Vitek Vanecek,Goalie,2,,,,GERRY JOHANNSON,The Sports Corporation
New Jersey Devils,Akira Schmid,Goalie,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
New Jersey Devils,Nico Daws IR-NR,Goalie,1,,,,PAUL CAPIZZANO,Quartexx Management
