Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
New York Islanders,Mathew Barzal,Left Wing,6,,,,J.P. BARRY,CAA Sports LLC
New York Islanders,Pierre Engvall,Left Wing,3,,,,CLAUDE LEMIEUX,4sports Hockey
New York Islanders,Anders Lee,Left Wing,10,,,,NEIL SHEEHY,I-C-E Hockey Agency
New York Islanders,Julien Gauthier,Left Wing,3,,,,ALLAIN ROY,"RSG Hockey, LLC"
New York Islanders,Matt Martin,Left Wing,13,,,,PATRICK MORRIS,Newport Sports Management Inc.
New York Islanders,Daylan Kuefler IR-NR,Left Wing,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
New York Islanders,Bo Horvat,Center,8,,,,PATRICK MORRIS,Newport Sports Management Inc.
New York Islanders,Brock Nelson,Center,9,,,,BEN HANKINSON,Octagon Athlete Representation
New York Islanders,Jean-Gabriel Pageau,Center,10,,,,CRAIG OSTER,Newport Sports Management Inc.
New York Islanders,Casey Cizikas,Center,11,,,,PATRICK MORRIS,Newport Sports Management Inc.
New York Islanders,Simon Holmstrom,Right Wing,1,,,,J.P. BARRY,CAA Sports LLC
New York Islanders,Kyle Palmieri,Right Wing,12,,,,STEPHEN BARTLETT,Bartlett Hockey
New York Islanders,Oliver Wahlstrom,Right Wing,2,,,,Pat Brisson,CAA Sports LLC
New York Islanders,Cal Clutterbuck,Right Wing,15,,,,PATRICK MORRIS,Newport Sports Management Inc.
New York Islanders,Hudson Fasching,Right Wing,5,,,,BRIAN BARTLETT,Bartlett Hockey
New York Islanders,Adam Pelech DTD,Left Defenseman,7,,,,PAUL CAPIZZANO,Quartexx Management
New York Islanders,Alexander Romanov,Left Defenseman,2,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
New York Islanders,Sebastian Aho,Left Defenseman,3,,,,CLAUDE LEMIEUX,4sports Hockey
New York Islanders,Samuel Bolduc,Left Defenseman,1,,,,PHILIPPE LECAVALIER,Quartexx Management
New York Islanders,Noah Dobson,Right Defenseman,3,,,,ANDREW MALONEY,Maloney & Thompson Sports Management
New York Islanders,Ryan Pulock,Right Defenseman,7,,,,JARRETT BOUSQUET,"Titan Sports Management, Inc"
New York Islanders,Scott Mayfield,Right Defenseman,8,,,,Matt Keator,Win Hockey Agency
New York Islanders,Ilya Sorokin,Goalie,2,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
New York Islanders,Semyon Varlamov,Goalie,14,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
