Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
New York Rangers,Chris Kreider,Left Wing,10,,,,Matt Keator,Win Hockey Agency
New York Rangers,Artemi Panarin,Left Wing,7,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
New York Rangers,Will Cuylle,Left Wing,1,,,,DAVID GAGNER,Wasserman Hockey
New York Rangers,Jimmy Vesey,Left Wing,6,,,,PETER FISH,Global Hockey Consultants
New York Rangers,Mika Zibanejad,Center,11,,,,MONIR KALGOUM,Monir Kalgoum
New York Rangers,Vincent Trocheck,Center,9,,,,STEPHEN F. REICH,"O2K Worldwide Management Group, LLC"
New York Rangers,Nick Bonino,Center,12,,,,PETER FISH,Global Hockey Consultants
New York Rangers,Barclay Goodrow,Center,8,,,,IAN PULVER,The Will Sports Group
New York Rangers,Filip Chytil IR,Center,5,,,,J.P. BARRY,CAA Sports LLC
New York Rangers,Blake Wheeler,Right Wing,14,,,,Matt Keator,Win Hockey Agency
New York Rangers,Alexis Lafreniere,Right Wing,2,,,,OLIVIER FORTIER,Momentum Hockey
New York Rangers,Kaapo Kakko,Right Wing,3,,,,ROBERT HOOPER,Octagon Athlete Representation
New York Rangers,Tyler Pitlick,Right Wing,8,,,,BEN HANKINSON,Octagon Athlete Representation
New York Rangers,K'Andre Miller,Left Defenseman,2,,,,IAN PULVER,The Will Sports Group
New York Rangers,Ryan Lindgren DTD,Left Defenseman,4,,,,WADE ARNOTT,Newport Sports Management Inc.
New York Rangers,Zac Jones,Left Defenseman,2,,,,SHAWN HUNWICK,"KO Sports, Inc."
New York Rangers,Jacob Trouba,Right Defenseman,9,,,,KURT OVERHARDT,"KO Sports, Inc."
New York Rangers,Erik Gustafsson,Right Defenseman,6,,,,CRAIG OSTER,Newport Sports Management Inc.
New York Rangers,Braden Schneider,Right Defenseman,1,,,,JASON DAVIDSON,Thunder Creek Professional Player Management
New York Rangers,Adam Fox IR-LT,Right Defenseman,3,,,,Matt Keator,Win Hockey Agency
New York Rangers,Igor Shesterkin DTD,Goalie,3,,,,MAXIM MOLIVER,Moliver Sports Management
New York Rangers,Jonathan Quick,Goalie,15,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
