Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Ottawa Senators,Brady Tkachuk,Left Wing,4,,,,CRAIG OSTER,Newport Sports Management Inc.
Ottawa Senators,Mathieu Joseph,Left Wing,4,,,,OLIVIER FORTIER,Momentum Hockey
Ottawa Senators,Dominik Kubalik,Left Wing,3,,,,JIRI HAMAL,JIRI HAMAL
Ottawa Senators,Matthew Highmore,Left Wing,1,,,,ALLAN WALSH,Octagon Athlete Representation
Ottawa Senators,Josh Norris,Center,2,,,,CRAIG OSTER,Newport Sports Management Inc.
Ottawa Senators,Tim Stutzle,Center,2,,,,BEN HANKINSON,Octagon Athlete Representation
Ottawa Senators,Roby Jarventie,Center,1,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Ottawa Senators,Rourke Chartier,Center,1,,,,TIMOTHY HODGSON,Stevenson Hood Thornton Beaubier LLP
Ottawa Senators,Ridly Greig IR,Center,1,,,,KEVIN EPP,"Titan Sports Management, Inc"
Ottawa Senators,Shane Pinto Out,Center,2,,,,LEWIS GROSS,Sports Professional Management Inc.
Ottawa Senators,Vladimir Tarasenko,Right Wing,10,,,,J.P. BARRY,CAA Sports LLC
Ottawa Senators,Claude Giroux,Right Wing,15,,,,Pat Brisson,CAA Sports LLC
Ottawa Senators,Drake Batherson,Right Wing,4,,,,PAUL CAPIZZANO,Quartexx Management
Ottawa Senators,Parker Kelly,Right Wing,2,,,,ALLAIN ROY,"RSG Hockey, LLC"
Ottawa Senators,Zack MacEwen,Right Wing,4,,,,DOUG SHEPHERD,Achieve Sports Management
Ottawa Senators,Mark Kastelic IR,Right Wing,1,,,,SCOTT BARTLETT,Bartlett Hockey
Ottawa Senators,Jake Sanderson,Left Defenseman,1,,,,PAT BRISSON,CAA Sports LLC
Ottawa Senators,Jakob Chychrun,Left Defenseman,6,,,,ANDY SCOTT,Octagon Athlete Representation
Ottawa Senators,Erik Brannstrom,Left Defenseman,4,,,,CRAIG OSTER,Newport Sports Management Inc.
Ottawa Senators,Tyler Kleven,Left Defenseman,1,,,,CRAIG OSTER,Newport Sports Management Inc.
Ottawa Senators,Artem Zub,Right Defenseman,2,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Ottawa Senators,Jacob Bernard-Docker,Right Defenseman,1,,,,SCOTT BARTLETT,Bartlett Hockey
Ottawa Senators,Travis Hamonic,Right Defenseman,12,,,,KEVIN EPP,"Titan Sports Management, Inc"
Ottawa Senators,Jacob Larsson,Right Defenseman,2,,,,KEVIN EPP,"Titan Sports Management, Inc"
Ottawa Senators,Thomas Chabot IR-LT,Right Defenseman,6,,,,IAN PULVER,The Will Sports Group
Ottawa Senators,Joonas Korpisalo,Goalie,7,,,,MARKUS LEHTO,Wasserman Hockey
Ottawa Senators,Anton Forsberg,Goalie,7,,,,MIKA RAUTAKALLIO,MPR-Hockey Oy
Ottawa Senators,Mads Sogaard,Goalie,1,,,,CLAUDE LEMIEUX,4sports Hockey
