Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Philadelphia Flyers,Cam Atkinson,Left Wing,11,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Philadelphia Flyers,Owen Tippett,Left Wing,3,,,,MURRAY KOONTZ,WD Sports & Entertainment
Philadelphia Flyers,Joel Farabee,Left Wing,3,,,,SHAWN HUNWICK,"KO Sports, Inc."
Philadelphia Flyers,Nicolas Deslauriers,Left Wing,9,,,,PHILIPPE LECAVALIER,Quartexx Management
Philadelphia Flyers,Sean Couturier,Center,11,,,,ERIK LUPIEN,Sport Prospects Inc.
Philadelphia Flyers,Morgan Frost,Center,3,,,,DARREN FERRIS,Quartexx Management
Philadelphia Flyers,Ryan Poehling,Center,3,,,,DEAN GRILLO,"O2K Worldwide Management Group, LLC"
Philadelphia Flyers,Noah Cates,Center,1,,,,BEN HANKINSON,Octagon Athlete Representation
Philadelphia Flyers,Tyson Foerster,Right Wing,1,,,,MURRAY KOONTZ,WD Sports & Entertainment
Philadelphia Flyers,Travis Konecny,Right Wing,6,,,,PATRICK MORRIS,Newport Sports Management Inc.
Philadelphia Flyers,Scott Laughton,Right Wing,9,,,,PATRICK MORRIS,Newport Sports Management Inc.
Philadelphia Flyers,Garnet Hathaway,Right Wing,7,,,,Matt Keator,Win Hockey Agency
Philadelphia Flyers,Bobby Brink,Right Wing,1,,,,BEN HANKINSON,Octagon Athlete Representation
Philadelphia Flyers,Cam York,Left Defenseman,2,,,,Pat Brisson,CAA Sports LLC
Philadelphia Flyers,Nick Seeler,Left Defenseman,4,,,,Pat Brisson,CAA Sports LLC
Philadelphia Flyers,Egor Zamula,Left Defenseman,1,,,,SHUMI BABAEV,Shumi Agency
Philadelphia Flyers,Marc Staal IR,Left Defenseman,15,,,,RICHARD CURRAN,Orr
Philadelphia Flyers,Travis Sanheim,Right Defenseman,5,,,,CRAIG OSTER,Newport Sports Management Inc.
Philadelphia Flyers,Sean Walker,Right Defenseman,4,,,,CAMERON STEWART,"KO Sports, Inc."
Philadelphia Flyers,Louis Belpedio,Right Defenseman,1,,,,PATRICK MORRIS,Newport Sports Management Inc.
Philadelphia Flyers,Rasmus Ristolainen IR-LT,Right Defenseman,9,,,,ANDY SCOTT,Octagon Athlete Representation
Philadelphia Flyers,Ryan Ellis IR-LT,Right Defenseman,12,,,,RICHARD CURRAN,Orr
Philadelphia Flyers,Samuel Ersson,Goalie,1,,,,LEWIS GROSS,Sports Professional Management Inc.
Philadelphia Flyers,Carter Hart DTD,Goalie,4,,,,JUDD MOLDAVE,Wasserman Hockey
Philadelphia Flyers,Felix Sandstrom IR,Goalie,1,,,,-,-
