Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Pittsburgh Penguins,Jake Guentzel,Left Wing,6,,,,BEN HANKINSON,Octagon Athlete Representation
Pittsburgh Penguins,Reilly Smith,Left Wing,11,,,,PAUL CAPIZZANO,Quartexx Management
Pittsburgh Penguins,Drew O'Connor,Left Wing,2,,,,Matt Keator,Win Hockey Agency
Pittsburgh Penguins,Matt Nieto,Left Wing,9,,,,DARREN FERRIS,Quartexx Management
Pittsburgh Penguins,Sidney Crosby,Center,17,,,,Pat Brisson,CAA Sports LLC
Pittsburgh Penguins,Evgeni Malkin,Center,16,,,,J.P. BARRY,CAA Sports LLC
Pittsburgh Penguins,Lars Eller,Center,13,,,,CRAIG OSTER,Newport Sports Management Inc.
Pittsburgh Penguins,Noel Acciari,Center,7,,,,LEWIS GROSS,Sports Professional Management Inc.
Pittsburgh Penguins,Bryan Rust,Right Wing,8,,,,BRIAN BARTLETT,Bartlett Hockey
Pittsburgh Penguins,Rickard Rakell,Right Wing,10,,,,CLAUDE LEMIEUX,4sports Hockey
Pittsburgh Penguins,Radim Zohorna,Right Wing,1,,,,CRAIG OSTER,Newport Sports Management Inc.
Pittsburgh Penguins,Vinnie Hinostroza,Right Wing,-,,,,PETE RUTILI,Wasserman Hockey
Pittsburgh Penguins,Jeff Carter DTD,Right Wing,17,,,,RICHARD CURRAN,Orr
Pittsburgh Penguins,Ryan Graves,Left Defenseman,4,,,,ALLAIN ROY,"RSG Hockey, LLC"
Pittsburgh Penguins,Marcus Pettersson,Left Defenseman,5,,,,PETER WALLEN,Alterno Global Management LLC
Pittsburgh Penguins,Ryan Shea,Left Defenseman,1,,,,Matt Keator,Win Hockey Agency
Pittsburgh Penguins,Pierre-Olivier Joseph,Left Defenseman,2,,,,OLIVIER FORTIER,Momentum Hockey
Pittsburgh Penguins,Will Butcher IR-NR,Left Defenseman,5,,,,BRIAN BARTLETT,Bartlett Hockey
Pittsburgh Penguins,Kris Letang,Right Defenseman,16,,,,PHILIPPE LECAVALIER,Quartexx Management
Pittsburgh Penguins,Erik Karlsson,Right Defenseman,13,,,,CRAIG OSTER,Newport Sports Management Inc.
Pittsburgh Penguins,Chad Ruhwedel,Right Defenseman,10,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Pittsburgh Penguins,Tristan Jarry,Goalie,6,,,,CRAIG OSTER,Newport Sports Management Inc.
Pittsburgh Penguins,Magnus Hellberg,Goalie,4,,,,KURT OVERHARDT,"KO Sports, Inc."
Pittsburgh Penguins,Alex Nedeljkovic IR-LT,Goalie,4,,,,RICHARD EVANS,Wasserman Hockey
