Anaheim Ducks,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Alex Killorn,Canada,11,"6,250,000"
Frank Vatrano,USA,8,"3,650,000"
Max Jones,USA,5,"1,500,000"
Benoit-Olivier Groulx,Canada,2,"775,000"
Ross Johnston,Canada,8,"1,750,000"
Trevor Zegras DTD,USA,3,"5,750,000"
Chase De Leo IR-NR,USA,1,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Leo Carlsson,Sweden,1,"855,000"
Mason McTavish,Zürich,2,"832,500"
Adam Henrique,Canada,13,"5,825,000"
Sam Carrick,Canada,7,"850,000"
Isac Lundestrom IR-NR,Sweden,5,"1,800,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Troy Terry,USA,6,"7,000,000"
Ryan Strome,Canada,10,"5,000,000"
Jakob Silfverberg,Sweden,11,"5,250,000"
Brett Leason,Canada,2,"800,000"
Brock McGinn IR,Canada,8,"2,750,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Cam Fowler,USA,13,"7,500,000"
Pavel Mintyukov,Russia,1,"855,000"
Urho Vaakanainen,Finland,4,"900,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Jackson LaCombe,USA,1,"832,500"
Ilya Lyubushkin,Russia,5,"$2,750,000"
Radko Gudas,Czechia,11,"4,000,000"
Tristan Luneau,Canada,1,"775,000"
Jamie Drysdale IR,Canada,3,"2,300,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
John Gibson,USA,10,"6,400,000"
Lukas Dostal,Czechia,2,"775,000"
Arizona Coyotes,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Clayton Keller,USA,7,"6,000,000"
Matias Maccelli,Finnish,2,"3,000,000"
Michael Carcone,Canada,2,"775,000"
Liam O'Brien,Canada,6,"800,000"
Milos Kelemen,Slovak,1,"775,000"
Jakub Voracek IR,Czechia,14,"7,500,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Barrett Hayton,Canada,4,"2,130,000"
Nick Bjugstad,USA,11,"2,100,000"
Logan Cooley,USA,1,"855,000"
Alex Kerfoot,Canada,6,"3,000,000"
Jack McBain IR,Canada,2,"1,599,999"
Bryan Little IR-LT,Canada,15,"3,750,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Nick Schmaltz,USA,7,"7,500,000"
Lawson Crouse,Canada,7,"4,600,000"
Jason Zucker,USA,12,"5,300,000"
Travis Boyd,USA,6,"2,500,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Janis Moser,Swiss,2,"832,500"
Juuso Valimaki,Finland,4,"1,000,000"
Troy Stecher,Canada,7,"1,100,000"
Michael Kesselring,USA,1,"832,500"
Travis Dermott Out,Canada,6,"800,000"
Shea Weber IR-LT,Canada,15,"1,000,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Sean Durzi,Canada,2,"2,000,000"
Matt Dumba,Canada,-,-
Josh Brown,Canada,5,"1,300,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Karel Vejmelka,Czech Republic,2,"3,150,000"
Connor Ingram,Canada,2,"1,750,000"
Boston Bruins,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Brad Marchand,Canada,14,"3,000,000"
James van Riemsdyk,USA,14,"1,000,000"
Danton Heinen,Canada,6,"775,000"
Jakub Lauko,Prague,1,"775,000"
Patrick Brown,Canada,6,"800,000"
Milan Lucic IR-LT,Canada,16,"1,000,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Pavel Zacha,Czech,8,"5,750,000"
Charlie Coyle,USA,11,"4,500,000"
Matthew Poitras,Canada,7,"775,000"
John Beecher,USA,1,"832,500"
Morgan Geekie IR,Canada,4,"2,000,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
David Pastrnak,Czech,9,"8,500,000"
