Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
San Jose Sharks,William Eklund,Left Wing,1,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
San Jose Sharks,Filip Zadina,Left Wing,4,,,,DARREN FERRIS,Quartexx Management
San Jose Sharks,Mike Hoffman,Left Wing,11,,,,ROBERT HOOPER,Octagon Athlete Representation
San Jose Sharks,Givani Smith,Left Wing,3,,,,EUSTACE KING,"O2K Worldwide Management Group, LLC"
San Jose Sharks,Anthony Duclair DTD,Left Wing,8,,,,ANTHONY DUCLAIR,Anthony Duclair
San Jose Sharks,Alexander Barabanov IR,Left Wing,2,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
San Jose Sharks,Mitchell Russell IR-NR,Left Wing,1,,,,JOHN WALTERS,The Will Sports Group
San Jose Sharks,Tomas Hertl,Center,9,,,,CRAIG OSTER,Newport Sports Management Inc.
San Jose Sharks,Mikael Granlund,Center,10,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
San Jose Sharks,Nico Sturm,Center,4,,,,Matt Keator,Win Hockey Agency
San Jose Sharks,Ryan Carpenter,Center,6,,,,DANIEL PLANTE,Forward Hockey
San Jose Sharks,Logan Couture IR,Center,13,,,,JOHN THORNTON,Top Shelf Sports Management LLC.
San Jose Sharks,Fabian Zetterlund,Right Wing,1,,,,CLAUDE LEMIEUX,4sports Hockey
San Jose Sharks,Luke Kunin,Right Wing,4,,,,PETE RUTILI,Wasserman Hockey
San Jose Sharks,Kevin Labanc,Right Wing,6,,,,MICHAEL CURRAN,Orr
San Jose Sharks,Danil Gushchin,Right Wing,-,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
San Jose Sharks,Mario Ferraro,Left Defenseman,3,,,,PETER WALLEN,Alterno Global Management LLC
San Jose Sharks,Marc-Edouard Vlasic,Left Defenseman,16,,,,ROBERT SAUVE,Jandec Inc.
San Jose Sharks,Nikita Okhotyuk,Left Defenseman,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
San Jose Sharks,Ty Emberson,Left Defenseman,1,,,,DANIEL PLANTE,Forward Hockey
San Jose Sharks,Jacob MacDonald IR,Left Defenseman,3,,,,RICHARD EVANS,Wasserman Hockey
San Jose Sharks,Calen Addison,Right Defenseman,2,,,,CRAIG OSTER,Newport Sports Management Inc.
San Jose Sharks,Kyle Burroughs,Right Defenseman,2,,,,ROSS GURNEY,R.W.G. Sport Management Ltd.
San Jose Sharks,Jan Rutta,Right Defenseman,5,,,,ALLAN WALSH,Octagon Athlete Representation
San Jose Sharks,Nikolai Knyzhov,Right Defenseman,2,,,,PAUL THEOFANOUS,"Paul Theofanous/TMI, LLC."
San Jose Sharks,Matt Benning IR,Right Defenseman,6,,,,JUSTIN DUBERMAN,Achieve Sports Management
San Jose Sharks,Mackenzie Blackwood,Goalie,4,,,,ANDY SCOTT,Octagon Athlete Representation
San Jose Sharks,Kaapo Kahkonen,Goalie,3,,,,ROBERT HOOPER,Octagon Athlete Representation
