Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Seattle Kraken,Jaden Schwartz,Left Wing,11,,,,SCOTT BARTLETT,Bartlett Hockey
Seattle Kraken,Jared McCann,Left Wing,7,,,,JOSEPH RESNICK,JOSEPH RESNICK
Seattle Kraken,Eeli Tolvanen,Left Wing,4,,,,MICHAEL CURRAN,Orr
Seattle Kraken,Tye Kartye,Left Wing,1,,,,ANDY SCOTT,Octagon Athlete Representation
Seattle Kraken,Matty Beniers,Center,-,,,,PAT BRISSON,CAA Sports LLC
Seattle Kraken,Alexander Wennberg,Center,8,,,,Pat Brisson,CAA Sports LLC
Seattle Kraken,Yanni Gourde,Center,7,,,,PAUL CORBEIL,Paraphe Sports-Management
Seattle Kraken,Shane Wright,Center,1,,,,CAMERON STEWART,"KO Sports, Inc."
Seattle Kraken,Pierre-Edouard Bellemare,Center,8,,,,KEVIN MAGNUSON,"KO Sports, Inc."
Seattle Kraken,Kailer Yamamoto,Right Wing,5,,,,J.P. BARRY,CAA Sports LLC
Seattle Kraken,Brandon Tanev,Right Wing,7,,,,WADE ARNOTT,Newport Sports Management Inc.
Seattle Kraken,Oliver Bjorkstrand,Right Wing,7,,,,PETER FISH,Global Hockey Consultants
Seattle Kraken,Ryan Winterton,Right Wing,1,,,,JOHN WALTERS,The Will Sports Group
Seattle Kraken,Jordan Eberle Out,Right Wing,12,,,,CRAIG OSTER,Newport Sports Management Inc.
Seattle Kraken,Andre Burakovsky IR,Right Wing,9,,,,KEVIN EPP,"Titan Sports Management, Inc"
Seattle Kraken,Vince Dunn,Left Defenseman,5,,,,PATRICK MORRIS,Newport Sports Management Inc.
Seattle Kraken,Jamie Oleksiak,Left Defenseman,10,,,,WADE ARNOTT,Newport Sports Management Inc.
Seattle Kraken,Brian Dumoulin,Left Defenseman,9,,,,LEWIS GROSS,Sports Professional Management Inc.
Seattle Kraken,Jaycob Megna,Left Defenseman,4,,,,DANIEL PLANTE,Forward Hockey
Seattle Kraken,Adam Larsson,Right Defenseman,11,,,,J.P. BARRY,CAA Sports LLC
Seattle Kraken,Will Borgen,Right Defenseman,3,,,,DEAN GRILLO,
Seattle Kraken,Justin Schultz,Right Defenseman,10,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
Seattle Kraken,Philipp Grubauer,Goalie,-,,,,ALLAIN ROY,"RSG Hockey, LLC"
Seattle Kraken,Joey Daccord,Goalie,1,,,,JERRY BUCKLEY,JERRY BUCKLEY
