Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
St. Louis Blues,Pavel Buchnevich,Left Wing,6,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
St. Louis Blues,Brandon Saad,Left Wing,11,,,,LEWIS GROSS,Sports Professional Management Inc.
St. Louis Blues,Alexei Toropchenko,Left Wing,1,,,,ANDY SCOTT,Octagon Athlete Representation
St. Louis Blues,Sammy Blais,Left Wing,-,,,,PHILIPPE LECAVALIER,Quartexx Management
St. Louis Blues,Robert Thomas,Center,4,,,,CRAIG OSTER,Newport Sports Management Inc.
St. Louis Blues,Brayden Schenn,Center,13,,,,BEN HANKINSON,Octagon Athlete Representation
St. Louis Blues,Kevin Hayes,Center,8,,,,ROBERT MURRAY,Pro-Athletes Management Inc.
St. Louis Blues,Oskar Sundqvist,Center,7,,,,CLAUDE LEMIEUX,4sports Hockey
St. Louis Blues,Nikita Alexandrov,Center,1,,,,PATRICK MORRIS,Newport Sports Management Inc.
St. Louis Blues,Kasperi Kapanen,Right Wing,7,,,,Markus Lehto,Wasserman Hockey
St. Louis Blues,Jordan Kyrou,Right Wing,4,,,,DAVID GAGNER,Wasserman Hockey
St. Louis Blues,Jakub Vrana,Right Wing,6,,,,J.P. BARRY,CAA Sports LLC
St. Louis Blues,Jake Neighbours,Right Wing,1,,,,DAVE COWAN,"O2K Worldwide Management Group, LLC"
St. Louis Blues,Nick Leddy,Left Defenseman,12,,,,NEIL SHEEHY,I-C-E Hockey Agency
St. Louis Blues,Torey Krug,Left Defenseman,11,,,,LEWIS GROSS,Sports Professional Management Inc.
St. Louis Blues,Marco Scandella,Left Defenseman,12,,,,PHILIPPE LECAVALIER,Quartexx Management
St. Louis Blues,Tyler Tucker,Left Defenseman,1,,,,DARREN FERRIS,Quartexx Management
St. Louis Blues,Joshua Jacobs IR-NR,Left Defenseman,-,,,,SCOTT BARTLETT,Bartlett Hockey
St. Louis Blues,Colton Parayko,Right Defenseman,7,,,,GERRY JOHANNSON,The Sports Corporation
St. Louis Blues,Justin Faulk,Right Defenseman,11,,,,BRIAN BARTLETT,Bartlett Hockey
St. Louis Blues,Scott Perunovich,Right Defenseman,1,,,,IAN PULVER,The Will Sports Group
St. Louis Blues,Robert Bortuzzo,Right Defenseman,11,,,,ROBERT HOOPER,Octagon Athlete Representation
St. Louis Blues,Anton Malmstrom IR-NR,Right Defenseman,-,,,,TODD REYNOLDS,Raze Sports
St. Louis Blues,Jordan Binnington,Goalie,5,,,,ROBERT HOOPER,Octagon Athlete Representation
St. Louis Blues,Joel Hofer,Goalie,1,,,,GERRY JOHANNSON,The Sports Corporation
