Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Tampa Bay Lightning,Brandon Hagel,Left Wing,3,,,,ALLAIN ROY,"RSG Hockey, LLC"
Tampa Bay Lightning,Steven Stamkos,Left Wing,14,,,,DONALD MEEHAN,Newport Sports Management Inc.
Tampa Bay Lightning,Tanner Jeannot,Left Wing,2,,,,MICHAEL KAYE,The Sports Corporation
Tampa Bay Lightning,Waltteri Merela,Left Wing,1,,,,MARK GANDLER & TODD DIAMOND,"International Sports Advisors Co., Inc."
Tampa Bay Lightning,Austin Watson,Left Wing,8,,,,MURRAY KOONTZ,WD Sports & Entertainment
Tampa Bay Lightning,Logan Brown IR-LT,Left Wing,5,,,,JUDD MOLDAVE,Wasserman Hockey
Tampa Bay Lightning,Brayden Point,Center,6,,,,GERRY JOHANNSON,The Sports Corporation
Tampa Bay Lightning,Nick Paul,Center,-,,,,PAUL CAPIZZANO,Quartexx Management
Tampa Bay Lightning,Anthony Cirelli,Center,5,,,,PATRICK MORRIS,Newport Sports Management Inc.
Tampa Bay Lightning,Luke Glendening,Center,9,,,,SHAWN HUNWICK,"KO Sports, Inc."
Tampa Bay Lightning,Nikita Kucherov,Right Wing,8,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Tampa Bay Lightning,Alex Barre-Boulet,Right Wing,2,,,,PAUL CORBEIL,Paraphe Sports-Management
Tampa Bay Lightning,Mikey Eyssimont,Right Wing,-,,,,KURT OVERHARDT,"KO Sports, Inc."
Tampa Bay Lightning,Tyler Motte,Right Wing,6,,,,Pat Brisson,CAA Sports LLC
Tampa Bay Lightning,Conor Sheary IR,Right Wing,7,,,,LEWIS GROSS,Sports Professional Management Inc.
Tampa Bay Lightning,Victor Hedman,Left Defenseman,13,,,,PETER WALLEN,Alterno Global Management LLC
Tampa Bay Lightning,Mikhail Sergachev,Left Defenseman,6,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Tampa Bay Lightning,Calvin de Haan,Left Defenseman,10,,,,ANDY SCOTT,Octagon Athlete Representation
Tampa Bay Lightning,Haydn Fleury,Left Defenseman,5,,,,GERRY JOHANNSON,The Sports Corporation
Tampa Bay Lightning,Nick Perbix,Right Defenseman,1,,,,BRIAN BARTLETT,Bartlett Hockey
Tampa Bay Lightning,Darren Raddysh,Right Defenseman,1,,,,DAVID GAGNER,Wasserman Hockey
Tampa Bay Lightning,Philippe Myers,Right Defenseman,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Tampa Bay Lightning,Erik Cernak DTD,Right Defenseman,4,,,,CRAIG OSTER,Newport Sports Management Inc.
Tampa Bay Lightning,Brent Seabrook IR-LT,Right Defenseman,14,,,,GERRY JOHANNSON,The Sports Corporation
Tampa Bay Lightning,Jonas Johansson,Goalie,2,,,,Matt Keator,Win Hockey Agency
Tampa Bay Lightning,Matt Tomkins,Goalie,1,,,,BRIAN BARTLETT,Bartlett Hockey
Tampa Bay Lightning,Andrei Vasilevskiy IR-LT,Goalie,8,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
