Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Toronto Maple Leafs,Matthew Knies,Left Wing,1,,,,MATT FEDERICO,"O2K Worldwide Management Group, LLC"
Toronto Maple Leafs,Tyler Bertuzzi,Left Wing,6,,,,TODD REYNOLDS,Raze Sports
Toronto Maple Leafs,Nick Robertson,Left Wing,0.063,,,,PAT BRISSON,CAA Sports LLC
Toronto Maple Leafs,Bobby McMann,Left Wing,1,,,,BRIAN BARTLETT,Bartlett Hockey
Toronto Maple Leafs,Auston Matthews,Center,6,,,,JUDD MOLDAVE,Wasserman Hockey
Toronto Maple Leafs,John Tavares,Center,13,,,,Pat Brisson,CAA Sports LLC
Toronto Maple Leafs,Max Domi,Center,7,,,,JUDD MOLDAVE,Wasserman Hockey
Toronto Maple Leafs,David Kampf,Center,5,,,,J.P. BARRY,CAA Sports LLC
Toronto Maple Leafs,Mitchell Marner,Right Wing,6,,,,DARREN FERRIS,Quartexx Management
Toronto Maple Leafs,William Nylander,Right Wing,7,,,,LEWIS GROSS,Sports Professional Management Inc.
Toronto Maple Leafs,Calle Jarnkrok,Right Wing,9,,,,CRAIG OSTER,Newport Sports Management Inc.
Toronto Maple Leafs,Noah Gregor,Right Wing,3,,,,CRAIG OSTER,Newport Sports Management Inc.
Toronto Maple Leafs,Ryan Reaves,Right Wing,12,,,,KEVIN EPP,"Titan Sports Management, Inc"
Toronto Maple Leafs,Morgan Rielly,Left Defenseman,9,,,,J.P. BARRY,CAA Sports LLC
Toronto Maple Leafs,Jake McCabe,Left Defenseman,9,,,,DANIEL PLANTE,Forward Hockey
Toronto Maple Leafs,William Lagesson,Left Defenseman,2,,,,ALLAN WALSH,Octagon Athlete Representation
Toronto Maple Leafs,Simon Benoit,Left Defenseman,2,,,,CHAD LEVITT,Cutting Edge Management
Toronto Maple Leafs,Jake Muzzin IR-LT,Left Defenseman,-,,,,JOSEPH RESNICK,JOSEPH RESNICK
Toronto Maple Leafs,T.J. Brodie,Right Defenseman,12,,,,PAUL CAPIZZANO,Quartexx Management
Toronto Maple Leafs,Mark Giordano,Right Defenseman,16,,,,RITCHIE WINTER,Raze Sports
Toronto Maple Leafs,John Klingberg,Right Defenseman,8,,,,CRAIG OSTER,Newport Sports Management Inc.
Toronto Maple Leafs,Conor Timmins IR-LT,Right Defenseman,3,,,,PAUL CAPIZZANO,Quartexx Management
Toronto Maple Leafs,Timothy Liljegren IR-LT,Right Defenseman,3,,,,PETER WALLEN,Alterno Global Management LLC
Toronto Maple Leafs,Joseph Woll,Goalie,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Toronto Maple Leafs,Ilya Samsonov,Goalie,3,,,,DONALD MEEHAN,Newport Sports Management Inc.
Toronto Maple Leafs,Martin Jones,Goalie,9,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
Toronto Maple Leafs,Matt Murray IR-LT,Goalie,1,,,,ROBERT HOOPER,Octagon Athlete Representation
