Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Vancouver Canucks,Ilya Mikheyev,Left Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Vancouver Canucks,Phil Di Giuseppe,Left Wing,6,,,,PAUL CAPIZZANO,Quartexx Management
Vancouver Canucks,Dakota Joshua,Left Wing,2,,,,RICHARD EVANS,Wasserman Hockey
Vancouver Canucks,Anthony Beauvillier,Left Wing,6,,,,PHILIPPE LECAVALIER,Quartexx Management
Vancouver Canucks,Nils Hoglander,Left Wing,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Vancouver Canucks,Elias Pettersson,Center,4,,,,Pat Brisson and JOAKIM PERSSON,CAA Sports LLC and KMJ Sports
Vancouver Canucks,J.T. Miller,Center,10,,,,BRIAN BARTLETT,Bartlett Hockey
Vancouver Canucks,Pius Suter,Center,2,,,,GEORGES MUELLER,Prime Sports
Vancouver Canucks,Teddy Blueger,Center,-,,,,BEN HANKINSON,Octagon Athlete Representation
Vancouver Canucks,Andrei Kuzmenko,Right Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Vancouver Canucks,Brock Boeser,Right Wing,6,,,,BEN HANKINSON,Octagon Athlete Representation
Vancouver Canucks,Conor Garland,Right Wing,4,,,,JUDD MOLDAVE,Wasserman Hockey
Vancouver Canucks,Sam Lafferty,Right Wing,3,,,,PETE RUTILI,Wasserman Hockey
Vancouver Canucks,Quinn Hughes,Left Defenseman,4,,,,Pat Brisson,CAA Sports LLC
Vancouver Canucks,Carson Soucy DTD,Left Defenseman,4,,,,GERRY JOHANNSON,The Sports Corporation
Vancouver Canucks,Ian Cole,Left Defenseman,12,,,,KEVIN MAGNUSON,"KO Sports, Inc."
Vancouver Canucks,Guillaume Brisebois IR-LT,Left Defenseman,3,,,,Pat Brisson,CAA Sports LLC
Vancouver Canucks,Filip Hronek,Right Defenseman,4,,,,ALLAN WALSH,Octagon Athlete Representation
Vancouver Canucks,Tyler Myers,Right Defenseman,13,,,,J.P. BARRY,CAA Sports LLC
Vancouver Canucks,Noah Juulsen,Right Defenseman,1,,,,JASON DAVIDSON,Thunder Creek Professional Player Management
Vancouver Canucks,Mark Friedman,Right Defenseman,3,,,,IAN PULVER,The Will Sports Group
Vancouver Canucks,Tucker Poolman IR-LT,Right Defenseman,1,,,,Tucker Poolman,"O2K Worldwide Management Group, LLC"
Vancouver Canucks,Thatcher Demko,Goalie,5,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
Vancouver Canucks,Casey DeSmith,Goalie,4,,,,JORDAN NEUMANN & GEORGE BAZOS,"Edge Sports Management, LLC"
