Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Washington Capitals,Alex Ovechkin,Left Wing,17,,,,STEPHEN SCRENCI,"Stephen W. Screnci, P.A."
Washington Capitals,Sonny Milano,Left Wing,7,,,,RICHARD EVANS,Wasserman Hockey
Washington Capitals,Aliaksei Protas,Left Wing,1,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Washington Capitals,Beck Malenstyn,Left Wing,1,,,,J.P. BARRY,CAA Sports LLC
Washington Capitals,Hendrix Lapierre,Left Wing,1,,,,PHILIPPE LECAVALIER,Quartexx Management
Washington Capitals,Anthony Mantha IR,Left Wing,7,,,,Pat Brisson,CAA Sports LLC
Washington Capitals,Max Pacioretty IR-LT,Left Wing,12,,,,ALLAN WALSH,Octagon Athlete Representation
Washington Capitals,Evgeny Kuznetsov,Center,9,,,,CRAIG OSTER,Newport Sports Management Inc.
Washington Capitals,Dylan Strome,Center,6,,,,PATRICK MORRIS,Newport Sports Management Inc.
Washington Capitals,Connor McMichael,Center,1,,,,DAVID GAGNER,Wasserman Hockey
Washington Capitals,Nic Dowd,Center,7,,,,DEAN GRILLO,"O2K Worldwide Management Group, LLC"
Washington Capitals,Nicklas Backstrom IR-LT,Center,15,,,,NICKLAS BACKSTROM,NICKLAS BACKSTROM
Washington Capitals,Tom Wilson,Right Wing,-,,,,PATRICK MORRIS,Newport Sports Management Inc.
Washington Capitals,T.J. Oshie,Right Wing,14,,,,MATTHEW OATES,"O2K Worldwide Management Group, LLC"
Washington Capitals,Matthew Phillips,Right Wing,1,,,,ALLAIN ROY,"RSG Hockey, LLC"
Washington Capitals,Nicolas Aube-Kubel,Right Wing,4,,,,PHILIPPE LECAVALIER,Quartexx Management
Washington Capitals,Alexander Alexeyev,Left Defenseman,1,,,,CRAIG OSTER,Newport Sports Management Inc.
Washington Capitals,Rasmus Sandin,Left Defenseman,3,,,,LEWIS GROSS,Sports Professional Management Inc.
Washington Capitals,Hardy Haman-Aktell,Left Defenseman,-,,,,CRAIG OSTER,Newport Sports Management Inc.
Washington Capitals,Martin Fehervary IR,Left Defenseman,2,,,,CLAUDE LEMIEUX,4sports Hockey
Washington Capitals,Joel Edmundson IR-LT,Left Defenseman,7,,,,CRAIG OSTER,Newport Sports Management Inc.
Washington Capitals,John Carlson,Right Defenseman,13,,,,RICHARD CURRAN,Orr
Washington Capitals,Nick Jensen,Right Defenseman,6,,,,BEN HANKINSON,Octagon Athlete Representation
Washington Capitals,Lucas Johansen,Right Defenseman,1,,,,KURT OVERHARDT,"KO Sports, Inc."
Washington Capitals,Dylan McIlrath,Right Defenseman,2,,,,CRAIG OSTER,Newport Sports Management Inc.
Washington Capitals,Trevor van Riemsdyk IR,Right Defenseman,8,,,,JUDD MOLDAVE,Wasserman Hockey
Washington Capitals,Darcy Kuemper DTD,Goalie,10,,,,BEN HANKINSON,Octagon Athlete Representation
Washington Capitals,Charlie Lindgren,Goalie,6,,,,BEN HANKINSON,Octagon Athlete Representation
Washington Capitals,Hunter Shepard,Goalie,1,,,,JAY GROSSMAN,"Puck Agency, LLC"
