Team,Player Name,Position,Years of Experience,Career Health,Season Health ,Percent of Reinjury, Puckpedia Agent , Puckpedia Agency
Winnipeg Jets,Kyle Connor,Left Wing,6,,,,RICHARD EVANS,Wasserman Hockey
Winnipeg Jets,Cole Perfetti,Left Wing,1,,,,CAMERON STEWART,"KO Sports, Inc."
Winnipeg Jets,Nino Niederreiter,Left Wing,11,,,,ANDRE RUFENER,Rufener Hockey LLC
Winnipeg Jets,Morgan Barron,Left Wing,2,,,,WADE ARNOTT,Newport Sports Management Inc.
Winnipeg Jets,Mark Scheifele,Center,11,,,,ROBERT HOOPER,Octagon Athlete Representation
Winnipeg Jets,Vladislav Namestnikov,Center,9,,,,DANIEL MILSTEIN,Gold Star Sports Management Group
Winnipeg Jets,Adam Lowry,Center,8,,,,CRAIG OSTER,Newport Sports Management Inc.
Winnipeg Jets,David Gustafsson,Center,3,,,,CRAIG OSTER,Newport Sports Management Inc.
Winnipeg Jets,Alex Iafallo,Right Wing,5,,,,LEWIS GROSS,Sports Professional Management Inc.
Winnipeg Jets,Nikolaj Ehlers,Right Wing,7,,,,ANDRE RUFENER,Rufener Hockey LLC
Winnipeg Jets,Mason Appleton,Right Wing,4,,,,RITCHIE WINTER,Raze Sports
Winnipeg Jets,Rasmus Kupari,Right Wing,2,,,,-,-
Winnipeg Jets,Gabriel Vilardi IR,Right Wing,-,,,,ANDY SCOTT,Octagon Athlete Representation
Winnipeg Jets,Josh Morrissey,Left Defenseman,7,,,,GERRY JOHANNSON,The Sports Corporation
Winnipeg Jets,Brenden Dillon,Left Defenseman,11,,,,CRAIG OSTER,Newport Sports Management Inc.
Winnipeg Jets,Dylan Samberg,Left Defenseman,1,,,,DANIEL PLANTE,Forward Hockey
Winnipeg Jets,Logan Stanley,Left Defenseman,2,,,,ROBERT HOOPER,Octagon Athlete Representation
Winnipeg Jets,Ville Heinola IR-NR,Left Defenseman,2,,,,ALLAIN ROY,"RSG Hockey, LLC"
Winnipeg Jets,Dylan DeMelo,Right Defenseman,7,,,,BRIAN MACDONALD,Siskinds Sports Management
Winnipeg Jets,Neal Pionk,Right Defenseman,5,,,,PETE RUTILI,Wasserman Hockey
Winnipeg Jets,Nate Schmidt,Right Defenseman,9,,,,Matt Keator,Win Hockey Agency
Winnipeg Jets,Declan Chisholm,Right Defenseman,1,,,,RICHARD EVANS,Wasserman Hockey
Winnipeg Jets,Connor Hellebuyck,Goalie,7,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
Winnipeg Jets,Laurent Brossoit,Goalie,8,,,,RAY (RAYNOLD) PETKAU,Alpha Hockey Inc.
